artist_name,wiki_nationality,wiki_artist_start_date
MICHAEL KIWANUKA,United Kingdom,2011-01-01
SHABOOZEY,United States,2014-01-01
NE-YO,United States,1998-01-01
Avril Lavigne,Canada,1999-01-01
Edward Maya,Romania,2006-01-01
CROWDED HOUSE,Unknown,1996-01-01
MC Zaac,Unknown,
"ARIANA GRANDE, NICKI MINAJ",Unknown,
"Rihanna, Calvin Harris",United Kingdom,2002-01-01
"David Guetta, Sia",Unknown,
Jack Harlow,United States,2016-01-01
Nicky Jam ,United States,1995-01-01
RUDIMENTAL x SKEPSIS feat. CHARLOTTE PLANK & RIKO DAN,Unknown,
Miguel Araújo,Peru,2011-01-01
MARIZA,Portugal,1997-01-01
VAN ZEE,Unknown,
Rag'n'Bone Man,United Kingdom,2010-01-01
Sam the Kid,Portugal,1994-01-01
Fingertips,Unknown,
Lil Nas X,United States,2018-01-01
KAROL G. x NICKI MINAJ,Unknown,
Vitor Kley,Brazil,2009-01-01
"Inês Apenas, Irma",Unknown,
Adele,United Kingdom,2006-01-01
PEGGY GOU,South Korea,2014-01-01
Veigh,United States,1968-04-23
DAVID GUETTA & BEBE REXHA,Unknown,
MARK AMBOR,United States,1997-12-04
"Pedro Abrunhosa, Camané",Unknown,
Frances,Unknown,
Mafalda Veiga,Portugal,1987-01-01
JAX JONES & ZOE WEES,Germany,2019-01-01
Dillaz,Portugal,1991-05-05
SEBASTIAN YATRA,Colombia,2013-01-01
"ALEC BENJAMIN, KHALID",Unknown,
Diana Castro,United States,1940-04-12
BANDIDOS DO CANTE,Unknown,
Gabriella Cilmi,Australia,2005-01-01
OUTKAST,Unknown,1992-01-01
VIRGUL,Turkey,1955-02-26
"THE CHAINSMOKERS, COLDPLAY",Unknown,
JOANA OLIVEIRA,Spain,
Bryant Barnes,United States,1996-01-01
SABRINA CARPENTER,United States,2011-01-01
Dave,Unknown,
DANNI GATO x VIRGUL,Unknown,
PANIC! AT THE DISCO,Unknown,2004-01-01
Pearl Jam,Unknown,1990-01-01
"Elton John, Britney Spears",Unknown,
"Elton John, Dua Lipa",Unknown,
FIFTY FIFTY,Unknown,2022-11-18
"Sam Smith, Alicia Keys",Unknown,
Daniel Powter,Canada,1997-01-01
SHAKIRA [+] ALEJANDRO SANZ,Spain,1990-01-01
CHAPPELL ROAN,United States,2014-01-01
Mizzy Miles,Portugal,2012-01-01
Beatriz Caixinha,Unknown,
Muse,Unknown,
"KAPPA JOTTA, MUN",Unknown,
SZA,United States,2012-01-01
Amy MacDonald,United Kingdom,2007-01-01
JACK HARLOW,United States,2016-01-01
JUSTIN TIMBERLAKE,United States,1997-01-01
LUIS TRIGACHEIRO,Portugal,1982-01-01
Jason Mraz,United States,1999-01-01
WIU & Teto,Brazil,2002-02-16
"Carolina Deslandes, Rui Veloso",Portugal,1991-08-27
Kurt Nilsen,Norway,1996-01-01
50 Cent ,United States,1996-01-01
21 SAVAGE,United States,2013-01-01
Natasha Bedingfield,United Kingdom,2001-01-01
The Calling,Unknown,
Conan Gray,United States,2017-01-01
QUAVO & LANA DEL REY,Unknown,
Eminem,United States,1988-01-01
"Nelly, Kelly Rowland",Unknown,
JUSTIN TIMBERLAKE [+] NELLY FURTADO,Canada,1996-01-01
Shouse,Unknown,
BLACK EYED PEAS,Unknown,1995-01-01
D4VD,United States,2021-01-01
Damiano David,Italy,2016-01-01
Lon3r Johny,Portugal,2017-01-01
JUICE WRLD,United States,2015-01-01
ANITTA,Brazil,2010-01-01
"Kygo, Jonas Brothers",Unknown,
ED SHEERAN,United Kingdom,2004-01-01
FLORITO,United States,1995-03-21
Florence and the Machine,Unknown,2007-01-01
António Zambujo,Portugal,2002-01-01
"JOANA ALMEIRANTE, SAMUEL URIA",Unknown,
JAMES INGRAM [+] PATTY AUSTIN,United States,1973-01-01
Michael Jackson,United States,1964-01-01
Bispo,Unknown,
KYLIE MINOGUE,Australia,1979-01-01
LIAM PAYNE feat. QUAVO,Unknown,
"Pedro Abrunhosa, Cat",Unknown,
"Gary Jules, Michael Andrews",United States,1998-01-01
"Rihanna, Mikky Ekko",United States,2008-01-01
MEGAN THEE STALION & DUA LIPA,Unknown,
ADRIANA CALCANHOTO,Brazil,1984-01-01
Sétima Legião,Unknown,1982-01-01
Train,Unknown,
"Madonna, Timbaland, Justin Timberlake",Unknown,
Colbie Caillat,United States,2007-01-01
Lost Frequencies,Belgium,2014-01-01
LIZZO,United States,2011-01-01
Gayle,Unknown,
RICHIE CAMPBELL FEAT. VAN ZEE & FRANKIEONTHEGUITAR,Unknown,
NIALL HORAN,Ireland,2010-01-01
Jasmine Thompson,United Kingdom,2010-01-01
"Rihanna, Eminem",Unknown,
KENDRICK LAMAR,United States,2004-01-01
BAD BUNNY,United States,2013-01-01
Passenger [uk],United Kingdom,2003-01-01
LYKKE LI,Sweden,2007-01-01
ZUCCHERO [+] PAUL YOUNG,Unknown,
JAY SEAN feat. LIL WAYNE,Unknown,
NATASHA BEDINGFIELD,United Kingdom,2001-01-01
Vários: Homenagem RC a Carlos do Carmo,Unknown,
BOYZ II MEN,Unknown,1988-01-01
GIULIA BE feat. LUAN SANTANA,Brazil,2018-01-01
MYLES SMITH,United Kingdom,1998-06-03
"Madcon, Ray Dalton",Unknown,
"DOJA CAT, SZA",Unknown,
CAPITAL CITIES,Unknown,
BL3SS & CAMRINWATSIN feat. BBYCLOSE,Unknown,
JUNG KOOK feat. LATTO,Unknown,
GRACIE ABRAMS,United States,2019-01-01
"TWOLOLORS, SAFRI DUO, CHRIS DE SARAJDY",Unknown,
DUA LIPA,United Kingdom,2014-01-01
TRAVIS SCOTT x BAD BUNNY & THE WEEKND,Unknown,
Vários: Homenagem RC a Jorge Palma,Unknown,
Billie Eilish,United States,2015-01-01
Ivete Sangalo,Brazil,1992-01-01
DRAKE feat. WIZKID & KYLA,Unknown,
Marisa Liz,Portugal,1982-01-01
TIMBALAND,United States,1990-01-01
Sebastian Yatra,Colombia,2013-01-01
Tom Walker,Unknown,
IVANDRO FEAT. BISPO,Portugal,2012-01-01
"Miguel Araújo, Os Quatro e Meia",Unknown,
RITON X NIGHTCRAWLERS FT. MUFASA E HYPEMAN,Unknown,
SHAGGY feat. RAYVON,Unknown,
Alex Warren,United States,2000-09-18
Kodaline,Unknown,2005-01-01
Virgem Suta,Unknown,1992-01-01
Jason Derulo,United States,2006-01-01
Dina,Unknown,
MIKE POSNER,United States,2008-01-01
DANIEL BEDINGFIELD,United Kingdom,2001-01-01
ROSALIA,Spain,2013-01-01
TINASHE,United States,2000-01-01
"Carolina Deslandes, António Zambujo",Unknown,
Alan Walker,Norway,2012-01-01
MARY J. BLIGE,United States,1989-01-01
"Camila Cabello, Ed Sheeran",Unknown,
PRINCE AND THE REVOLUTION,Unknown,1979-01-01
"James Morrison, Nelly Furtado",Unknown,1996-01-01
FrankieontheGuitar,Unknown,
BILLY GILLIES feat. HANNAH BOLEYN,Unknown,
Flo Rida ,United States,2000-01-01
"Miguel Carmona, Rita Rocha",Unknown,
Sech,Unknown,
THE GAME feat. 50 CENT,Unknown,
LOGIC feat. ALESSIA CARA & KHALID,Unknown,
"D.A.M.A., BUBA ESPINHO",Unknown,
DILLAZ feat. PLUTONIO,Unknown,
SILVA FT. ANITTA,Unknown,
Da Weasel,Unknown,1993-01-01
TEDDY SWIMS,United States,2011-01-01
"MARSHMELLO, MANUEL TURIZO",Colombia,2016-01-01
Lenny Kravitz,United States,1988-01-01
CHRIS ISAAK,United States,1984-01-01
YANG,Unknown,
Miley Cyrus,United States,2001-01-01
The Underdog Project,Unknown,2000-01-01
REAMONN,Unknown,1999-01-01
WHITNEY HOUSTON,United States,1976-01-01
AXWELL & INGROSSO,Unknown,2014-01-01
CLEAN BANDIT feat. SEAN PAUL & ANNE-MARIE,Unknown,
MACKLEMORE & RYAN LEWIS feat. RAY DALTON,Unknown,
DJ Dadda,Portugal,2000-01-01
POST MALONE,United States,2011-01-01
THE WEEKND feat. ANITTA,Unknown,
Jamiroquai,Unknown,1992-01-01
Shawn Mullins,United States,1990-01-01
Bad Bunny,United States,2013-01-01
JOHN LENNON,United Kingdom,1956-01-01
NORAH JONES,United States,2001-01-01
JONAS BROTHERS,Unknown,2005-01-01
BÁRBARA TINOCO FT. BÁRBARA BANDEIRA,Unknown,
KATSEYE,Unknown,
Years & Years,Unknown,2010-01-01
"Beyoncé, Jay Z",Unknown,
Coldplay,Unknown,1997-01-01
One Direction,Unknown,2010-07-23
SWEDISH HOUSE MAFIA FT. THE WEEKND,Unknown,2007-01-01
Hoobastank,Unknown,1994-01-01
Adriana Calcanhotto,Brazil,1984-01-01
Camila Cabello,Cuba,2012-01-01
Paulo Gonzo,Portugal,1975-01-01
Corinne Bailey Rae,United Kingdom,2003-01-01
Capicua,Portugal,2006-01-01
Jamie Cullum,United Kingdom,1999-01-01
BUBA ESPINHO FT. BANDIDOS DO CANTE,Unknown,
FINGERTIPS,Unknown,
JOVEM DIONISIO,Unknown,
Sophie Ellis-Bextor,United Kingdom,1997-01-01
"MAROON 5, SZA",Unknown,
Salvador Sobral,Portugal,2009-01-01
Charlie Puth,United States,2009-01-01
SOPHIE ELLIS-BEXTOR,United Kingdom,1997-01-01
BÁRBARA BANDEIRA FT. IVANDRO,Unknown,
DIDO,Phoenicia,
Álvaro de Luna,Crown of Castile,1390-01-01
"Charlie Puth, Selena Gomez",Unknown,
DILLAZ feat. JULINHO KSD,Unknown,
André Sardet,Portugal,1976-01-08
Xutos & Pontapés,Unknown,1978-01-01
BECKY HILL,United Kingdom,2012-01-01
Vasco Palmeirim,Portugal,1979-08-29
Diana Krall,Canada,1993-01-01
Anitta,Brazil,2010-01-01
Nirvana,Unknown,
PINK,Unknown,
Benson Boone,United States,2021-01-01
JAMES MORRISON,United Kingdom,2006-01-01
BEYONCÉ,United States,1997-01-01
India.Arie,United States,1999-01-01
Luísa Sonza,Brazil,2017-01-01
Maroon 5,Unknown,1994-01-01
Nena [pt],Unknown,
DAFT PUNK [+] PHARRELL WILLIAMS,Unknown,
ZARA LARSSON x DAVID GUETTA,Unknown,
DASHA,Unknown,
DAVID GUETTA + ONEREPUBLIC,Unknown,
Bon Jovi,Unknown,1983-01-01
THE FRAY,Unknown,2002-01-01
Delfins,Unknown,2009-12-31
FLO RIDA,United States,2000-01-01
Dasha,Unknown,
"Diana Lima, Murta",Unknown,
A GREAT BIG WORLD / CHRISTINA AGUILERA,Unknown,
Calum Scott,United Kingdom,2013-01-01
Charlotte Day Wilson,Canada,1993-01-01
The Script,Unknown,2001-01-01
Katy Perry,United States,2001-01-01
CHARLI XCX FEAT. BILLIE EILISH,Unknown,
"Ariana Grande, Brandy, Monica",Unknown,
"MATIAS DAMÁSIO, CARLOS RIVERA",Unknown,
RICK ASTLEY,United Kingdom,1985-01-01
JoJo,United States,2011-01-01
LL COOL J feat. EMINEM,Unknown,
"Pedro Abrunhosa, Diogo Piçarra",Unknown,
CHRIS BROWN feat. WIZKID,United States,2002-01-01
Ivandro,Brazil,1930-05-26
Shakira,Spain,1990-01-01
KHALID,Unknown,
Nickelback,Unknown,1995-01-01
Jawsh 685,New Zealand,2020-01-01
Plutónio,Portugal,2000-01-01
FRED AGAIN.. & OBONGJAYAR,Unknown,
VANESSA CARLTON,United States,2001-01-01
Aurea,Unknown,
MALUMA,Colombia,2010-01-01
MORAD & GIMS,Democratic Republic of the Congo,2002-01-01
Brandi Carlile,United States,2004-01-01
SYRO FT. GISELA JOÃO,Unknown,
"Gnash, Olivia O'Brien",United States,2015-01-01
Katie Melua,Soviet Union,2003-01-01
ProfJam,Portugal,1991-06-05
MAE STEPHENS,United Kingdom,2003-01-01
"JP Saxe, Julia Michaels",Canada,2012-01-01
"METRO BOOMIN, THE WEEKND & 21 SAVAGE",Unknown,
JUSTIN BIEBER & BENNY BLANCO,Unknown,
JOJI,Japan,2006-01-01
"John Mayer, Katy Perry",Unknown,
SAM SMITH,United Kingdom,2007-01-01
"Cian Ducrot, Ella Henderson",Ireland,1997-01-01
Arctic Monkeys,Unknown,2002-01-01
NICKELBACK,Unknown,1995-01-01
Luís Trigacheiro,Portugal,1982-01-01
"Ed Sheeran, Justin Bieber",Unknown,
SEAN KINGSTON,Jamaica,2006-01-01
WET BED GANG x LHAST,Portugal,2013-01-01
"MIZZY MILES, VAN ZEE, BISPO",Portugal,2012-01-01
Cabeças no Ar,Portugal,1967-01-01
24kGoldn,United States,2016-01-01
ANA MOURA,Portugal,1979-09-17
RIHANNA feat. CALVIN HARRIS,Unknown,
Taylor Swift,United States,2003-01-01
Anna Nalick,United States,2003-01-01
JULIETTE,Unknown,
MYKE TOWERS,United States,2013-01-01
Sofia Camara,Argentina,1987-03-01
WIZKID feat. BRENT FAIYAZ,Unknown,
Christina Aguilera,United States,1988-01-01
Manuel Turizo,Colombia,2016-01-01
Bizarrap,Argentina,1998-08-29
ALOK & JESS GLYNNE,Unknown,
Beyoncé,United States,1997-01-01
LUISA SONZA,Brazil,2017-01-01
MIZZY MILES FEAT. T-REX & ZARA G.,Unknown,
"THE WEEKND, JENNIE, LILY-ROSE DEPP",United States,2014-01-01
Khiaro,Unknown,
CHARLI XCX,United Kingdom,2007-01-01
Nico & Vinz,Unknown,2009-01-01
Bob Sinclar,France,1987-01-01
RAG N BONE MAN,United Kingdom,2010-01-01
BIZARRAP & SHAKIRA,Unknown,
"MEGAN TRAINOR, JOHN LEGEND",United States,2008-01-01
TATE McRAE,Canada,2013-01-01
WIU,Unknown,
Fugees,Unknown,1992-01-01
Juice WRLD,United States,2015-01-01
BISPO FT. BARBARA TINOCO,Unknown,
"DJ TOPO, SEU JORGE, MC LEOZIN & MC G15",Unknown,
CALEMA & ZÉ FILIPE,Unknown,
SHAWN MENDES,Canada,2013-01-01
PEDRO MAFAMA,Portugal,1979-09-17
 ,Unknown,
FUTURE & METRO BOOMIN feat. KENDRICK LAMAR,Unknown,
Becky G,United States,2011-01-01
Clã,Unknown,1992-01-01
Michele Morrone,Italy,2012-01-01
Piso 21 ,Unknown,2007-01-01
Lewis Capaldi,United Kingdom,2017-01-01
"Justin Bieber, Benny Blanco",Unknown,
Khalid,Unknown,
ERIC CLAPTON,United Kingdom,1962-01-01
MR. BELT & WEZOL,Unknown,2013-01-01
BISPO feat. IVANDRO,Portugal,2012-01-01
"Calum Scott, Leona Lewis",Unknown,
Craig David,United Kingdom,1999-01-01
Modjo,Unknown,1998-01-01
Vários: Homenagem RC aos Xutos & Pontapés,Unknown,
TOM ODELL,United Kingdom,2012-01-01
FRANKIEONTHEGUITAR feat. IVANDRO & SLOW J.,Unknown,
"D.A.M.A., Buba Espinho",Unknown,
INSTINTO 26,Unknown,
"TAYLOR SWIFT, POST MALONE",Unknown,
TORANJA,Unknown,2000-01-01
KYGO FT. SELENA GOMEZ,Unknown,
JOE COCKER,United Kingdom,1960-01-01
Maninho,Mozambique,1991-03-30
Fumaxa,Unknown,
"Zero 7, Sia, Sophie Barker",Unknown,
Feid,Colombia,2010-01-01
MAROON 5 feat. FUTURE,Unknown,
"Márcia, JP Simões",Unknown,
"Ivandro, Julinho Ksd",Unknown,
BARBARA BANDEIRA FEAT. VEIGH,Unknown,
"Bárbara Tinoco, Bárbara Bandeira",Portugal,1998-11-16
"Pablo Alborán, Carminho",Spain,2010-01-01
Pedro Sampaio,Brazil,2012-01-01
DIANA LIMA,Unknown,
Internet Money,Unknown,
CAROLINA DESLANDES,Portugal,1991-08-27
FRENCH MONTANA feat. SWAE LEE,Unknown,
JASON MRAZ,United States,1999-01-01
"Travie McCoy, Bruno Mars",Unknown,
S. Pedro,Brazil,1986-09-07
LIL NAS X,United States,2018-01-01
LOREEN,Sweden,2004-01-01
Amy Winehouse,United Kingdom,2000-01-01
Shaboozey,United States,2014-01-01
"Nena [pt], Carolina de Deus",Unknown,
John Legend,United States,2000-01-01
J Balvin,Colombia,2007-01-01
TOMMY RICHMAN,United States,2000-03-21
Wet Bed Gang,Unknown,2014-01-01
GRELO,Unknown,
CALVIN HARRIS feat. JOHN NEWMAN,Unknown,
Lukas Graham,Unknown,2011-01-01
"KYGO, AVA MAX",Unknown,
"Kelsea Ballerini, Noah Kahan",United States,2014-01-01
Matheus Paraizo,Unknown,
Trovante,Portugal,1992-01-01
Wiu,Unknown,
NICOLAJ GRANDJEAN,Unknown,
Bárbara Bandeira,Portugal,2011-01-01
Paramore,Unknown,2004-01-01
Counting Crows,Unknown,1991-01-01
"Charlie Puth, Meghan Trainor",United States,2009-01-01
Disturbed,Unknown,
Mc Daniel,United States,1983-03-06
"David Guetta, Kelly Rowland",Unknown,
"ELTON JOHN, DUA LIPA",Unknown,
"Taylor Swift, Post Malone",Unknown,
"Swedish House Mafia, The Weeknd",Unknown,
DAVE x CENTRAL CEE,United Kingdom,2015-01-01
LIL NAS X feat. JACK HARLOW,United States,2018-01-01
Kelly Clarkson,United States,2002-01-01
"Mikkel Solnado, Joana Alegre",Unknown,
"Lady Gaga, Bruno Mars",Unknown,
"DJ SNAKE, JUSTIN BIEBER",Unknown,
"Dua Lipa, DaBaby",Unknown,
TWENTY ONE PILOTS,Unknown,2009-01-01
The Weeknd,Canada,2009-01-01
ANA CAROLINA & SEU JORGE,Unknown,
Ariana Grande,United States,2008-01-01
"Max [us], Gnash",United States,2010-01-01
"Coldplay, Beyoncé",Unknown,
CKay,Nigeria,2016-01-01
DOVE CAMERON,United States,2012-01-01
CHAMPAIGN,Unknown,
David Fonseca,Portugal,1998-01-01
"David Guetta, Bebe Rexha",Unknown,
DANIEL POWTER,Canada,1997-01-01
JIMIN,South Korea,2013-01-01
MANESKIN,Unknown,2016-01-01
EMELI SANDE,United Kingdom,2008-01-01
"MARY J. BLIGE, U2",Unknown,
"OFENBACH, NORMA JEAN MARTINE",Unknown,
"FEID, ATL JACOB",Unknown,
GUGA,Unknown,
BEYONCE feat. SEAN PAUL,Unknown,
"COLDPLAY FEAT. LITTLE SIMZ, BURNA BOY, ELYANNA & TINI",Unknown,
ALESSIA CARA,Italy,2014-07-01
Justin Timberlake,United States,1997-01-01
MUMFORD & SONS,Unknown,2007-01-01
"Carolina de Deus, António Zambujo",Unknown,
EMINEM feat. RIHANNA,Unknown,
MANINHO,Mozambique,1991-03-30
Adam Lambert,United States,2001-01-01
"Imagine Dragons, Elisa [it]",Unknown,
Mark Ambor,United States,1997-12-04
"Rosé, Bruno Mars",Unknown,
Catarina Filipe,Brazil,2003-01-01
JIMMY P. & KIKIMOTELEBA,Unknown,
Fernando Daniel,Portugal,2014-01-01
ZAYN,United Kingdom,
FloyyMenor,Chile,2005-01-01
LADY GAGA,United States,2005-01-01
"BÁRBARA BANDEIRA, DILLAZ",Unknown,
Karol G,Colombia,2006-01-01
"Bárbara Bandeira, Ivandro",Portugal,2011-01-01
Ed Sheeran,United Kingdom,2004-01-01
"Wiz Khalifa, Charlie Puth",Unknown,
Shawn Mendes,Canada,2013-01-01
Omi,Unknown,
PIKIKA,Unknown,
"Daft Punk, Pharrell Williams",Unknown,
"Rema, Selena Gomez",Unknown,
lady gaga,United States,2005-01-01
Daughtry,Unknown,1999-01-01
INSTINTO 26 & IVANDRO,Unknown,
BONNIE TYLER,United Kingdom,1975-01-01
JUSTIN TIMBERLAKE feat. T.I.,Unknown,
MICHAEL BOLTON,United States,1975-01-01
Xamã,Brazil,2016-01-01
PEDRO ABRUNHOSA,Portugal,1985-01-01
CHRISTINA PERRI,United States,2008-01-01
THE KID LAROI,Australia,2018-01-01
PINK [+] NATE RUESS,United States,2002-01-01
GNARLS BARKLEY,Unknown,2003-01-01
"Bispo, Syro",Unknown,
NDOTZ,Unknown,
FLYING PICKETS,Unknown,1982-01-01
Jamelia,United Kingdom,1999-01-01
RIHANNA [+] MIKKY EKKO,United States,2008-01-01
EROS RAMAZZOTTI,Italy,1980-01-01
Gabrielle,Unknown,
MATUE & VEIGH,Unknown,
Tom Odell,United Kingdom,2012-01-01
DOMINGUES,Portugal,2006-01-01
Sabrina Carpenter,United States,2011-01-01
WALK THE MOON,Unknown,2008-01-01
"BRUNO MARS & ANDERSON PAAK, SILK SONIC",Unknown,2021-01-01
"USHER, LIL JON & lUDRACRIS",Unknown,
Van Zee,Unknown,
Chappel Roan,United States,2014-01-01
DAMIEN RICE,Ireland,1991-01-01
"Coldplay, Little Simz, Tini, Burna Boy, Elyanna",Unknown,
PIRUKA,Portugal,2013-01-01
BILLIE EILISH feat. KHALID,Unknown,
MATHEUS PARAISO,Brazil,1996-01-01
Humanos,Unknown,2004-01-01
Oasis,Unknown,
"Dengaz, Matay, Di Noise",Unknown,
Limp Bizkit,Unknown,1994-01-01
pedro abrunhosa,Portugal,1985-01-01
"Pedro Abrunhosa, Sara Correia",Unknown,
Snow Patrol,Unknown,1994-01-01
Tom Grennan,United Kingdom,2014-01-01
GNR,Unknown,
xavi ,Unknown,
Chris Rea,United Kingdom,1978-01-01
"Murta, Jüra",Unknown,
Matt Simons,United States,2010-01-01
"Richie Campbell, Van Zee",Portugal,2010-01-01
Silence 4,Unknown,1996-01-01
Capitão Fausto,Unknown,2009-01-01
Latte,Unknown,
Miguel Luz,Unknown,
"Usher, Beyoncé, Alicia Keys, JD",United States,1993-01-01
Aragão,Unknown,2002-04-19
Lamb,Unknown,
Gavin Rossdale,United Kingdom,1983-01-01
"Rita Rocha, Bárbara Tinoco",Brazil,1966-01-01
CALUM SCOTT,United Kingdom,2013-01-01
Alec Benjamin,United States,2013-01-01
"JACOB COLLER, SHAWN MENDES, STORMZY",Unknown,
André Amaro,Portugal,2002-08-13
Dave Matthews Band,Unknown,1991-01-01
SEAL,Unknown,
GLADYS KNIGHT,United States,1952-01-01
Ban,Unknown,
"metro boomin, the weeknd, 21 savage ",Unknown,
Simply Red,Unknown,1979-01-01
"PEDRO TEIXEIRA DA MOTA feat. LON3R JOHNY, RICHIE CAMPBELL, PLUTONIO, VAN ZEE, PROFJAM & LHAST",Unknown,
Justin Quiles ,United States,2010-01-01
Duran Duran,Unknown,1978-01-01
Tems ,Nigeria,2015-01-01
karol g ,Colombia,2006-01-01
Jay Z ,United States,1986-01-01
MIGUEL LUZ,Unknown,
LABRINTH [+] EMELI SANDE,United Kingdom,2008-01-01
Lifehouse,Unknown,1999-01-01
"Post Malone, Morgan Wallen",Unknown,
SippinPurpp ,Unknown,2017-01-01
ELLA HENDERSON,United Kingdom,2012-01-01
PROCOL HARUM,Unknown,1967-01-01
GARY JULES,United States,1998-01-01
S.PEDRO,Brazil,1986-09-07
AMBER MARK,Unknown,1993-01-01
ALL 4 ONE,Unknown,1993-01-01
vasco palmeirim e manhas da comercial,Portugal,1979-08-29
IVE & DAVID GUETTA,Unknown,
SIA and KYLIE MINOGUE,Unknown,
GNASH & OLIVIA OBRIEN,Unknown,
BETTE MIDLER,United States,1965-01-01
ALISON MOYET,France,1978-01-01
"Bárbara Bandeira, Dillaz",Unknown,
ANITA BAKER,United States,1979-01-01
TIM MOORE,Unknown,
Eminem ,United States,1988-01-01
Mick Jagger,United Kingdom,1960-01-01
Damien Rice,Ireland,1991-01-01
"Ariana Grande, Justin Bieber",Unknown,
Mind da Gap ,Unknown,
SIMON & GARFUNKEL,Unknown,1956-01-01
SIMPLY RED,Unknown,1979-01-01
NOBLE,Unknown,
Bazzi,Unknown,2003-01-01
NAILL HORAN,Unknown,
"Paulo Gonzo, Lúcia Moniz",Unknown,
GRANDE PULSAR,Unknown,
PAUL MCCARTNEY,United Kingdom,1957-01-01
REO SPEEDWAGON,Unknown,1967-01-01
"Seu Jorge, Ana Carolina",Brazil,1998-01-01
Piruka ,Portugal,2013-01-01
"Bruno Mars, Anderson .Paak, Silk Sonic, Thundercat, Bootsy Collins",Unknown,2021-01-01
Camilo ,Unknown,
MARIAH CAREY,United States,1989-01-01
The Pussycat Dolls,Unknown,2003-01-01
The Paper Kites,Unknown,2010-01-01
Pop Smoke ,United States,2018-01-01
TATIANA DUARTE,Unknown,
ROXY MUSIC,Unknown,1970-01-01
SALVADOR SOBRAL,Portugal,2009-01-01
KOOL & THE GANG,Unknown,1964-01-01
6ix9ine ,United States,2014-01-01
mariza,Portugal,1997-01-01
Emeli Sandé,United Kingdom,2008-01-01
Ashe,Unknown,
TOTO,Unknown,
VADO MAS KI AS & IVANDRO,Unknown,
LIONEL RICHIE,United States,1968-01-01
Música de Natal - 2023,Unknown,
OFENBACH feat. JUSTIN JESSO,Unknown,2011-01-01
MICHAEL BUBLE,Canada,1996-01-01
"Stephen Sanchez, Em Beihold",United States,2017-01-01
Mos Def ,United States,1994-01-01
TAKE THAT,Unknown,1990-01-01
"Rag'n'Bone Man, Pink",United Kingdom,2010-01-01
CHRIS DE BURG,Ireland,1974-01-01
Joana Almeirante,Unknown,
Future ,Unknown,
"KAROL G., FEID, DFZM, OVY ON THE DRUMS, J BALVIN, MALUMA, BLESSED & RYAN CASTRO",Unknown,
"MATIAS DAMÁSIO, D.A.M.A.",Unknown,
Ruth B.,Canada,2014-01-01
CHRISTOPHER CROSS,United States,1971-01-01
POST MALONE feat. 21 SAVAGE,Unknown,
ROSE & BRUNO MARS,Unknown,
THE WEEKND FEAT. PLAYBOI CARTI & MADONNA,Unknown,
SWEDISH HOUSE MAFIA with THE WEEKND,Unknown,
plutonio,Portugal,2000-01-01
"Jason Mraz, Colbie Caillat",Unknown,
Jessie Ware,United Kingdom,2009-01-01
Billie Eilish ,United States,2015-01-01
SEVDALIZA with PABLLO VITTAR & YSEULT,Brazil,2013-01-01
Bárbara Bandeira ,Portugal,2011-01-01
The Killers,Unknown,2002-01-01
Jimin ,South Korea,2013-01-01
"RITON, NIGHTCRAWLERS, MUFASA, HYPERMAN",Unknown,
Bluay,Unknown,
DaBaby,United States,2014-01-01
Grelo ,Unknown,
Ava Max,United States,2013-01-01
Metro Boomin,United States,2009-01-01
Selena Gomez,United States,2002-01-01
MATHEUS PARAIZO,Unknown,
KYGO & AVA MAX,Unknown,
NELSON FREITAS,Unknown,1997-01-01
Michael Bublé,Canada,1996-01-01
KAPPA JOTTA feat. MUN,Unknown,
TWOCOLORS x SAFRI DUO x CHRIS DE SARANDY,Unknown,
gigi perez,United States,2000-02-04
Julia Michaels,United States,2010-01-01
T-REX,Unknown,
Maroon 5 ,Unknown,1994-01-01
Rádio Macau,Unknown,
"Valas, Raquel Tavares",Unknown,
BLUAY x JULINHO KSD,Unknown,
Sabrina Carpenter ,United States,2011-01-01
THE KID LAROI FT. JUSTIN BIEBER,Unknown,
UHF,Unknown,
Ja Rule ,United States,1994-01-01
Anitta ,Brazil,2010-01-01
MICHAEL MARCAGI feat. JOY OLADOKUN,United States,1983-01-01
Dan + Shay,Unknown,2012-01-01
LISA,Unknown,
PABLLO VITTAR & DUDA BEAT,Unknown,
gracie abrams,United States,2019-01-01
METRO BOOMIN feat. THE WEEKND & 21 SAVAGE,Unknown,
JUSTIN BIEBER feat. SKRILLEX & BLOOD DIAMONDS,Unknown,
Akon,Senegal,1996-01-01
"Vado Mas Ki Ás, Ivandro",Unknown,
Bzrp,Argentina,1998-08-29
D.A.M.A. FEAT. LOS ROMEROS,Mexico,1925-07-22
The Kid Laroi,Australia,2018-01-01
mc tuto & dj g,Unknown,
Zzoilo,Unknown,
Jüra,Unknown,
"Miguel Araújo, António Zambujo",Portugal,1998-11-16
D.A.M.A. FEAT. BUBA ESPINHO,Unknown,
Lil Nas X ,United States,2018-01-01
PEDRO SAMPAIO & GASPARZINHO,Unknown,
THE KID LAROI feat. JUSTIN BIEBER,Unknown,
MIKE 11 FEAT. D.A.M.A.,Unknown,
BEYONCÃ‰ FEAT. JAY-Z,Sweden,1983-01-01
AgroPlay,Mexico,1999-07-23
THE CHAINSMOKERS feat. HALSEY,Unknown,
TAYLOR SWIFT FEAT. POST MALONE,Unknown,
