track_title,artist_name,spotify_album,spotify_release_date,spotify_duration_ms,spotify_popularity,spotify_genres
BEAUTIFUL GIRLS,SEAN KINGSTON,Beautiful Girls,2007-07-23,225373,77,dance pop
DANCARINA,PEDRO SAMPAIO feat. MC PEDRINHO,"DANÇARINA (feat. Nicky Jam, MC Pedrinho) [Remix]",2022-06-10,212000,61,funk carioca
SEM TI,SLOW J,Afro Fado,2023-11-24,155614,52,hip hop tuga
I'm with You,Avril Lavigne,Let Go,2002-06-04,223066,75,canadian pop
STARGAZING,MYLES SMITH,Stargazing,2024-05-10,172533,89,singer-songwriter pop
ROCK YOUR BODY,JUSTIN TIMBERLAKE,Justified,2002-11-04,267266,78,dance pop
UNCONDITIONALLY,KATY PERRY,PRISM,2013-01-01,228878,75,pop
Mirrors,Justin Timberlake,The 20/20 Experience (Deluxe Version),2013-03-15,484146,79,dance pop
The City is a Jungle,Fumaxa,The City is a Jungle,2020-11-13,265384,38,hip hop tuga
SHE WILL BE LOVED,MAROON 5,Songs About Jane: 10th Anniversary Edition,2002-01-01,259453,80,pop
"","",Artist 2.0,2020-02-14,188563,57,melodic rap
She Used to Be Mine,Sara Bareilles,What's Inside: Songs from Waitress,2015-11-06,250266,60,acoustic pop
LEAVE THE DOOR OPEN,"BRUNO MARS & ANDERSON PAAK, SILK SONIC",An Evening With Silk Sonic,2021-11-11,242096,78,dance pop
"Ela Não Sabe, Pois Não?",Bárbara Tinoco,Bichinho (para onde vai o amor?),2024-05-31,185386,53,portuguese pop
Arcade [remix],"Duncan Laurence, Fletcher",Arcade (Sam Feldt Remix),2021-04-23,187453,18,dutch pop
Dentro da Hilux,Luan Pereira,DENTRO DA HILUX,2023-08-24,163013,67,agronejo
UMBRELLA,RIHANNA,Good Girl Gone Bad,2007-01-01,275986,70,barbadian pop
VOLTAS,FERNANDO DANIEL,Voltas,2018-10-12,228539,46,portuguese pop
Something just Like This,"The Chainsmokers, Coldplay",Memories...Do Not Open,2017-04-07,247160,86,pop
EARNED IT,THE WEEKND,Beauty Behind The Madness,2015-08-28,277680,71,canadian contemporary r&b
LIKE IM GONNA LOSE YOU,"MEGAN TRAINOR, JOHN LEGEND",Title (Deluxe),2015-01-09,225053,78,hip pop
Ride,Mike11,19.2k,2021-11-05,193200,38,hip hop tuga
CHAMADA NAO ATENDIDA,BARBARA TINOCO,Bichinho,2023-04-21,207173,49,portuguese pop
Nosso Quadro,AgroPlay,Agroplay Verão,2023-08-18,173698,65,agronejo
Tata,Slow J,Afro Fado,2023-11-24,159751,59,hip hop tuga
Rewrite the Stars,"James Arthur, Anne-Marie",Rewrite The Stars (with James Arthur & Anne-Marie),2018-10-25,218293,76,pop
TUYA,ROSALIA,TUYA,2023-06-08,154551,61,pop
DESIRE,CALVIN HARRIS & SAM SMITH,Desire (with Sam Smith),2023-07-28,179161,72,dance pop
CARRO,"BÁRBARA BANDEIRA, DILLAZ",Finda,2023-10-06,202624,56,portuguese pop
One Of The Girls,The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,244684,90,canadian contemporary r&b
LUNA,"FEID, ATL JACOB",FERXXOCALIPSIS,2023-12-01,196800,88,colombian pop
Love the Way You Lie (Part II),"Rihanna, Eminem",Loud,2010-11-16,296226,54,barbadian pop
Wonderful Life,Katie Melua,Ultimate Collection,2018-10-05,247706,65,uk pop
Creepin',Metro Boomin,HEROES & VILLAINS,2022-12-02,221520,81,rap
Peaches,Justin Bieber,Justice,2021-03-19,198081,78,canadian pop
SAVE A PRAYER,DURAN DURAN,Rio (Collector's Edition),1982-05-10,333306,61,album rock
Te Amo,Calema,Yellow,2020-02-07,258223,56,musica santomense
I HAVE NOTHING,WHITNEY HOUSTON,The Bodyguard - Original Soundtrack Album,1992-11-17,289160,73,dance pop
SI NO ESTÁS,IÑIGO QUINTERO,Si No Estás,2022-09-23,184061,80,""
Benção,"Mizzy Miles, Bispo, Van Zee",Bênção,2024-03-01,205934,62,hip hop tuga
Talvez...,Carolina de Deus,Dores de Crescimento,2023-05-12,184269,40,""
Chandelier,Sia,1000 Forms Of Fear (Deluxe Version),2015-05-04,216120,69,pop
Don't Be Shy,Tiesto,Don't Be Shy,2021-08-12,140500,71,big room
Paradise,Coldplay,Mylo Xyloto,2011-10-24,278719,81,permanent wave
Fallin',Alicia Keys,Songs In A Minor,2001-06-05,210200,76,neo soul
Carro,Bárbara Bandeira,Finda,2023-10-06,202624,56,portuguese pop
Chakras,"Ivandro, Julinho Ksd",Trovador,2024-02-16,195764,54,hip hop tuga
What Lovers Do,Maroon 5,Red Pill Blues (Deluxe),2018-06-15,199849,65,pop
ABOUT DAMN TIME,LIZZO,Special,2022-07-15,191937,70,escape room
Casa,"D.A.M.A., Buba Espinho",CASA,2022-11-25,208484,51,portuguese pop
Borboletas,Gama WNTD,Borboletas,2020-11-19,204281,51,hip hop tuga
Fortnight,"Taylor Swift, Post Malone",THE TORTURED POETS DEPARTMENT,2024-04-18,228965,85,pop
CAVALINHO,PEDRO SAMPAIO & GASPARZINHO,CAVALINHO,2024-01-25,138591,66,funk carioca
Crazy,Gnarls Barkley,St. Elsewhere,2006-05-02,182066,71,atl hip hop
Ao Teu Ouvido,"Buba Espinho, Bárbara Tinoco",Ao Teu Ouvido (feat. Bárbara Tinoco),2023-09-01,216706,41,tuna
All of Me,John Legend,Love In The Future (Expanded Edition),2013-08-30,269560,83,neo soul
NOT LIKE US,KENDRICK LAMAR,Not Like Us,2024-05-04,274192,89,conscious hip hop
PROBLEMAS DE UM MILIONARIO,WIU,Problemas de um Milionário,2024-04-10,144360,71,trap brasileiro
Friday [Dopamine re-edit],Riton,Friday (feat. Mufasa & Hypeman) [Dopamine Re-Edit],2021-01-15,169153,76,house
Use Somebody,Kings of Leon,Only By The Night,2008-09-23,230760,77,modern rock
Sacrifice,The Weeknd,Dawn FM,2022-01-06,188918,69,canadian contemporary r&b
Perfect,Ed Sheeran,÷ (Deluxe),2017-03-03,263400,85,pop
COMO ANTES,MATIAS DAMÁSIO,Como Antes,2022-03-25,224354,54,kizomba
BABY IM BACK,THE KID LAROI,THE FIRST TIME (DELUXE VERSION),2024-08-09,171243,83,australian hip hop
WHATEVER,KYGO & AVA MAX,Whatever,2024-01-19,178273,77,edm
The Sound of Silence,Disturbed,Immortalized,2015-08-14,248466,73,alternative metal
Goodbyes,Post Malone,Hollywood's Bleeding,2019-09-06,174853,74,dfw rap
WAVES,"MR. PROBZ, ROBIN SCHULZ",Waves (Robin Schulz Radio Edit),2014-02-07,208133,75,pop dance
Dialectos da Ternura,Da Weasel,"Amor, Escárnio E Maldizer",2007-03-30,247060,45,hip hop tuga
Cold Heart [Pnau remix],"Elton John, Dua Lipa",The Lockdown Sessions,2021-10-22,202735,67,glam rock
Paparazzi,Lady Gaga,The Fame,2008-01-01,208306,71,art pop
AMIGA DA MINHA MULHER,SEU JORGE,"Musica para Churrasco, Vol. 1",2011-10-01,248080,65,mpb
CHEAP THRILLS,SIA,This Is Acting (Deluxe Version),2016-10-21,211666,67,pop
O TEMPO VAI ESPERAR,OS QUATRO E MEIA,O Tempo Vai Esperar,2020-09-25,223693,46,portuguese folk
Shallow,"Lady Gaga, Bradley Cooper",A Star Is Born Soundtrack,2018-10-05,215733,82,art pop
LET YOU GO,RICHIE CAMPBELL,Heartbreak & Other Stories,2023-03-17,204320,45,hip hop tuga
SI ANTES TE HUBIERA CONOCIDO,KAROL G,Si Antes Te Hubiera Conocido,2024-06-21,195824,94,reggaeton
Montero (Call Me by Your Name),Lil Nas X,MONTERO,2021-09-17,137704,76,lgbtq+ hip hop
ESPERAVA MAIS DE TI,"BIANCA BARROS, NUNO LANHOSO, RITA ROCHA",Esperava Mais De Ti,2023-06-16,129600,29,portuguese pop
Contra Probabilidades,"Bispo, Julinho Ksd",Contra Probabilidades,2024-06-21,203082,54,hip hop tuga
HEAVEN,NIALL HORAN,The Show,2023-06-09,186043,71,pop
POCPOC,PEDRO SAMPAIO,POCPOC,2023-11-23,127384,67,funk carioca
Acordar,Plutónio,Acordar,2024-05-24,197862,56,hip hop tuga
MY UNIVERSE,"COLDPLAY, BTS",Music Of The Spheres,2021-10-15,226198,74,permanent wave
Sua Cara,Major Lazer,Major Lazer Essentials,2018-10-19,167310,44,dance pop
TATA,SLOW J,Afro Fado,2023-11-24,159751,59,hip hop tuga
Amigos,"Pablo Alborán, Maria Becerra",La cuarta hoja,2022-12-01,233755,62,latin arena pop
TASTE,SABRINA CARPENTER,Short n' Sweet,2024-08-23,157279,94,pop
Dores de Crescimento,"Carolina de Deus, António Zambujo",Dores de Crescimento,2023-05-12,216066,36,""
MAIS EU,BARBARA BANDEIRA,Finda,2023-10-06,164270,32,portuguese pop
HOLD MY HAND,LADY GAGA,"Hold My Hand (Music From The Motion Picture ""Top Gun: Maverick"")",2022-05-03,225300,67,art pop
Before I Lose My Voice,Richie Campbell,Before I Lose My Voice,2024-09-27,186483,55,hip hop tuga
TENHO DE PENSAR,PIKIKA,tenho de pensar,2024-06-07,199259,29,""
KISSES,BL3SS & CAMRINWATSIN feat. BBYCLOSE,Kisses (feat. bbyclose),2024-03-22,138246,83,""
ONE OF THE GIRLS,"THE WEEKND, JENNIE, LILY-ROSE DEPP",The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,244684,90,canadian contemporary r&b
You Right,Doja Cat,Planet Her,2021-06-25,186173,75,dance pop
Preço Certo,Pedro Mafama,Estava No Abismo Mas Dei Um Passo Em Frente,2023-05-26,170558,45,portuguese indie
Sai Da Frente,Juliette,Ciclone,2023-08-25,167445,53,""
Lucky,Halsey,The Great Impersonator,2024-10-25,196720,55,electropop
Training Season,Dua Lipa,Radical Optimism,2024-05-03,209487,80,dance pop
HOT TO GO!,CHAPPELL ROAN,The Rise and Fall of a Midwest Princess,2023-09-22,184841,89,indie pop
Permission to Dance,BTS,Permission to Dance,2021-07-23,187585,71,k-pop
A SKY FULL OF STARS,COLDPLAY,Ghost Stories,2014-05-19,267866,86,permanent wave
Elastic Heart,"Sia, Diplo, The Weeknd",Elastic Heart (From “The Hunger Games: Catching Fire” Soundtrack),2013-01-01,257986,53,pop
It's Time,Imagine Dragons,Night Visions,2012-09-04,237986,65,modern rock
FE!N,Travis Scott,UTOPIA,2023-07-28,191700,89,rap
YOU`RE BEAUTIFUL,JAMES BLUNT,Back to Bedlam,2005-08-08,209493,73,neo mellow
Conclusão,Julinho Ksd,Sabi na Sabura,2021-09-24,147820,51,hip hop tuga
Sorte A Nossa,Catarina Filipe,Sorte A Nossa,2024-09-07,146666,40,""
SOLTEIROS,DEEJAY TELIO & YASMINE,Solteiros,2023-02-17,179023,49,batida
POR ENQUANTO,PLUTONIO,Por Enquanto,2022-06-30,142341,50,hip hop tuga
We Can't Be Friends (Wait For Your Love),Ariana Grande,eternal sunshine,2024-03-08,228639,87,pop
HEARTLESS,RICHIE CAMPBELL,Heartbreak & Other Stories,2023-03-17,164706,49,hip hop tuga
Moth to a Flame,Swedish House Mafia,Paradise Again,2022-04-15,234000,78,edm
STARBOY,THE WEEKND feat. DAFT PUNK,Starboy (Deluxe),2023-03-14,230461,55,canadian contemporary r&b
Amor de Ferro,"Pedro Abrunhosa, Diogo Piçarra",Amor de Ferro,2024-02-22,214190,46,portuguese pop
Take My Breath,The Weeknd,Dawn FM,2022-01-06,339023,68,canadian contemporary r&b
MIA,Bad Bunny,X 100PRE,2018-12-23,210367,73,reggaeton
My World,Calum Scott,My World,2024-10-04,203650,62,pop
ESSA SAIA,BISPO,Mais Antigo,2020-03-13,210506,50,hip hop tuga
Slow Dancing in a Burning Room,John Mayer,Continuum,2006-09-11,242000,75,neo mellow
(IT GOES LIKE) NANANA,PEGGY GOU,(It Goes Like) Nanana [Edit],2023-06-15,231545,76,electra
TRAINING SEASON,DUA LIPA,Radical Optimism,2024-05-03,209487,80,dance pop
HÁ ALGO EM TI,LUIS TRIGACHEIRO,Ela,2024-10-11,179306,33,fado
HUNG UP,MADONNA,Confessions on a Dance Floor,2005-11-11,337733,74,dance pop
WHY WHY WHY,SHAWN MENDES,Shawn,2024-08-08,169041,79,canadian pop
A Million Dreams,Pink,A Million Dreams,2018-10-24,273640,63,dance pop
Qué Más Pues?,J Balvin,JOSE,2021-09-10,217360,70,reggaeton
Where Are You Now,Lost Frequencies,All Stand Together,2023-11-10,149066,81,belgian edm
Faz um Vuk Vuk (Teto Espelhado),Kevin o Chris,Faz um Vuk Vuk (Teto Espelhado),2023-07-20,138461,69,funk 150 bpm
MALIBU,PROFJAM,#FFFFFF,2019-02-22,202990,43,hip hop tuga
FLORA,TREZE,Flora,2024-09-13,152594,23,""
Stay,"Rihanna, Mikky Ekko",Unapologetic (Edited Version),2012-01-01,240706,71,barbadian pop
ROYALS,LORDE,Pure Heroine,2013-09-27,190185,75,art pop
casa,Fernando Daniel,V.H.S (vol.1),2023-05-26,206700,51,portuguese pop
STAR,REAMONN,Beautiful Sky,2003-01-01,255040,40,german pop rock
ATÉ AO FIM,MANINHO,Até ao Fim,2023-11-03,204884,53,portuguese pop
CANT CATCH ME NOW,OLIVIA RODRIGO,The Hunger Games: The Ballad of Songbirds & Snakes (Music From & Inspired By),2023-11-17,205483,72,pop
LA LA,MYKE TOWERS,LA VIDA ES UNA,2023-03-23,197920,82,reggaeton
SUSHI,NENNY,Aura,2020-03-02,159737,34,hip hop tuga
Woman,Doja Cat,Planet Her,2021-06-25,172626,82,dance pop
Birds Of A Feather,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,210373,98,art pop
Devia Ir,Wet Bed Gang,Devia Ir,2018-07-20,293748,57,hip hop tuga
AGAIN,LENNY KRAVITZ,Again,2000-01-01,231666,66,permanent wave
"I Hate U, I Love U","Gnash, Olivia O'Brien",us,2016-03-25,251033,74,alt z
Natural,Imagine Dragons,Origins (Deluxe),2018-11-09,189466,79,modern rock
IDIOTA,JÃO,PIRATA,2021-10-20,181626,63,pop nacional
STAY WITH ME,SAM SMITH,In The Lonely Hour,2014-05-26,172723,81,pop
Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,2024-08-16,251667,100,art pop
APOLOGIZE,TIMBALAND [+] ONEREPUBLIC,Shock Value,2007-01-01,184400,72,dance pop
ASSOBIA PARA O LADO,CARLAO,Assobia Para O Lado,2020-03-13,191648,35,hip hop tuga
Guaranteed,Eddie Vedder,Into The Wild (Music For The Motion Picture),2007-09-18,164500,55,acoustic rock
ANDORINHAS,ANA MOURA,Casa Guilhermina,2022-11-11,177633,38,fado
EVERYTHING I WANTED,BILLIE EILISH,everything i wanted,2019-11-13,245425,82,art pop
CHASING CARS,SNOW PATROL,Eyes Open,2006-01-01,267960,79,irish rock
I Like The Way You Kiss Me,Artemas,i like the way you kiss me,2024-03-19,142514,85,""
Close To You,Gracie Abrams,The Secret of Us,2024-06-21,225973,79,alt z
MTG QUEM NÃO QUER SOU EU,DJ TOPO,MTG QUEM NÃO QUER SOU EU,2024-05-10,123692,77,deboxe
O Mundo ao Contrário,Xutos & Pontapés,O Mundo Ao Contrário,2004-01-01,258533,34,portuguese rock
Mon Amour [remix],Zzoilo,Mon Amour (Remix),2021-08-18,179940,74,latin pop
Enemy,Imagine Dragons,Mercury - Acts 1 & 2,2022-07-01,173381,79,modern rock
A Terra Gira,Os Quatro e Meia,O Tempo Vai Esperar,2020-09-25,197506,48,portuguese folk
I'm Outta Love,Anastacia,Pieces of A Dream,1999-01-01,245400,50,pop soul
WHERE U @,SLOW J,Afro Fado,2023-11-24,144765,49,hip hop tuga
Diamonds,Rihanna,Unapologetic (Edited Version),2012-01-01,225146,70,barbadian pop
LOVIN ON ME,JACK HARLOW,Lovin On Me,2023-11-10,138411,80,deep underground hip hop
A NOSSA VEZ,CALEMA,A.N.V.,2017-10-20,217853,49,musica santomense
IM NOT THE ONLY ONE,SAM SMITH,In The Lonely Hour,2014-05-26,239316,82,pop
Because of You,Kelly Clarkson,Breakaway,2004-01-17,219493,64,dance pop
QUERO FUGIR,SORAIA RAMOS,COCKTAIL,2023-10-27,185481,34,kizomba
Billionaire,"Travie McCoy, Bruno Mars",Lazarus,2010-06-07,211160,73,pop rap
BEFORE I LOSE MY VOICE,RICHIE CAMPBELL,Before I Lose My Voice,2024-09-27,186483,55,hip hop tuga
RUDE BOY,RIHANNA,Rated R,2009-11-20,222920,77,barbadian pop
COLAS,DILLAZ,O Próprio,2024-02-16,193170,50,hip hop tuga
SCARS TO YOUR BEAUTIFUL,ALESSIA CARA,Know-It-All,2015-11-13,230240,76,canadian contemporary r&b
Lua,Ivandro,Trovador,2024-02-16,192417,57,hip hop tuga
Where Are You Now,"Lost Frequencies, Calum Scott",All Stand Together,2023-11-10,149066,81,belgian edm
THERES NOTHING HOLDIN ME BACK,SHAWN MENDES,Illuminate (Deluxe),2017-04-20,199440,84,canadian pop
I Like It,Cardi B,Invasion of Privacy,2018-04-06,253390,75,pop
Ho Hey,The Lumineers,The Lumineers,2012-04-03,163133,81,folk-pop
NASTY,TINASHE,Nasty,2024-04-12,176027,75,alternative r&b
I Drink Wine,Adele,30,2021-11-19,376169,71,british soul
Gata Only,FloyyMenor,Gata Only,2024-02-02,222000,88,reggaeton chileno
SOMEWHERE OVER THE RAINBOW,ISRAEL KAMAKAWIWOOLE,Facing Future,1993-11-01,308026,68,hawaiian
Pump It,Black Eyed Peas,Monkey Business,2005-01-01,213066,67,dance pop
Please Please Please,Sabrina Carpenter,Please Please Please,2024-06-06,186365,90,pop
Celestial,Ed Sheeran,Celestial,2022-09-29,209026,67,pop
FAITHS SONG,AMY WADGE,Keeping Faith,2018-03-02,172058,44,british singer-songwriter
OHNANA,KAPO,Ohnana,2024-06-06,156577,86,""
LOVE AGAIN,RICHIE CAMPBELL,Heartbreak & Other Stories,2023-03-17,208068,49,hip hop tuga
Essa Saia,Bispo,Mais Antigo,2020-03-13,210506,50,hip hop tuga
KILL BILL,SZA,SOS,2022-12-08,153946,86,pop
Video,India.Arie,Acoustic Soul,2001-01-01,249960,58,neo soul
CLOSE TO YOU,GRACIE ABRAMS,The Secret of Us,2024-06-21,225973,79,alt z
feelslikeimfallinginlove,Coldplay,feelslikeimfallinginlove,2024-06-21,237803,80,permanent wave
If I'm Lucky,Jason Derulo,If I'm Lucky,2017-08-31,212013,49,dance pop
Bad Liar,Selena Gomez,Bad Liar,2017-05-18,214647,63,pop
Nunca Me Esqueci de Ti,Rui Veloso,O Concerto Acústico (Live),2003-01-01,195200,39,portuguese rock
My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,2023-09-15,137773,88,brooklyn indie
I HAD SOME HELP,POST MALONE & MORGAN WALLEN,F-1 Trillion,2024-08-15,178205,85,dfw rap
EVERYTIME WE TOUCH,DAVID GUETTA,Pop Life,2007-06-01,220640,32,big room
You Are the Reason,Calum Scott,Only Human (Deluxe),2018-03-09,204326,76,pop
Nothin' on You,"B.o.B., Bruno Mars",B.o.B Presents: The Adventures of Bobby Ray,2010-04-27,268320,76,atl hip hop
Faz Bem,"Bluay, Julinho Ksd",Faz Bem,2024-01-19,183714,59,trap tuga
Talking to the Moon,Bruno Mars,Doo-Wops & Hooligans,2010-05-11,217866,81,dance pop
Hello,Adele,25,2015-11-20,295502,71,british soul
Señorita,"Shawn Mendes, Camila Cabello",Shawn Mendes (Deluxe),2019-06-19,190799,78,canadian pop
GALOPA,PEDRO SAMPAIO,CHAMA MEU NOME,2022-02-02,140500,63,funk carioca
Heat Waves,Glass Animals,Dreamland,2020-08-07,238805,85,gauze pop
VIDA BOA,DAVID CARREIRA & JULIETTE,Vida Boa,2024-02-23,175677,36,portuguese pop
THANK YOU,DIDO,Thank You (Not So Bad),2023-12-01,140000,82,belgian dance
TALVEZ,CAROLINA DE DEUS,Dores de Crescimento,2023-05-12,184269,40,""
A Thousand Years,Christina Perri,a thousand years,2011-10-18,285120,80,pop
DO MEU AO TEU CORREIO,NENA,ao fundo da rua,2022-11-18,205972,39,portuguese pop
Better in Time,Leona Lewis,Spirit,2007-01-01,234173,65,british soul
Shake It Off (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,219209,72,pop
É ISSO AÍ,ANA CAROLINA & SEU JORGE,Ana E Jorge,2005-11-17,318026,56,mpb
Heather,Conan Gray,Kid Krow,2020-03-20,198040,83,bedroom pop
Vamo De Pagodin,Mc Daniel,Vamo de Pagodin,2024-05-03,160864,75,funk viral
I DON`T BELIEVE YOU,PINK,Funhouse (Expanded Edition),2008-10-24,276280,44,dance pop
CLUB CAN`T HANDLE ME,FLO RIDA,Only One Flo (Part 1),2010-11-24,234560,76,dance pop
Wrecked,Imagine Dragons,Mercury - Acts 1 & 2,2022-07-01,244004,68,modern rock
BKBN,SORAIA RAMOS,BKBN,2022-02-14,178574,43,kizomba
If I Lose Myself,OneRepublic,Native,2014-01-01,214813,59,piano rock
STICK SEASON,NOAH KAHAN,Stick Season,2022-10-14,182346,87,pov: indie
ALL OF ME,JOHN LEGEND,Love In The Future (Expanded Edition),2013-08-30,269560,83,neo soul
Club Can't Handle Me,"Flo Rida, David Guetta",Only One Flo (Part 1),2010-11-24,234560,76,dance pop
Wish You The Best,Lewis Capaldi,Broken By Desire To Be Heavenly Sent,2023-05-19,210880,75,pop
EMPIRE STATE OF MIND,ALICIA KEYS,The Blueprint 3,2009-09-08,276920,80,east coast hip hop
ALIBI,SEVDALIZA with PABLLO VITTAR & YSEULT,Alibi (with Pabllo Vittar & Yseult),2024-06-28,161655,68,alternative r&b
Voltas,Fernando Daniel,Voltas,2018-10-12,228539,46,portuguese pop
TOTAL ECLIPSE OF THE HEART,BONNIE TYLER,The Very Best of Bonnie Tyler,2009-03-26,267360,79,europop
Faz Bem,Bluay,Faz Bem,2024-01-19,183714,59,trap tuga
Congratulations,Post Malone,Stoney (Deluxe),2016-12-09,220293,78,dfw rap
Love on the Brain,Rihanna,ANTI (Deluxe),2016-01-28,224000,83,barbadian pop
SKYFALL,ADELE,Skyfall,2012-10-04,286480,84,british soul
MORE THAN YOU KNOW,AXWELL & INGROSSO,More Than You Know,2017-07-28,203000,77,edm
AUSTIN,DASHA,What Happens Now?,2024-02-16,171782,88,""
I Knew You Were Trouble (Taylor's Version),Taylor Swift,Red (Taylor's Version),2021-11-12,219760,72,pop
MISS INDEPENDENT,NE-YO,Year Of The Gentleman (Bonus Track Edition),2008-01-01,232000,77,dance pop
We're Good,Dua Lipa,Future Nostalgia (The Moonlight Edition),2021-02-11,165506,66,dance pop
MTG QUEM NAO QUER SOU EU,"DJ TOPO, SEU JORGE, MC LEOZIN & MC G15",MTG QUEM NÃO QUER SOU EU,2024-05-10,123692,77,deboxe
IMAGINA ESSE CENARIO,MATUE & VEIGH,333,2024-09-09,155368,77,r&b brasileiro
HOT N COLD,KATY PERRY,One Of The Boys,2008-06-17,220226,70,pop
LIGHTER,"GALANTIS, DAVID GUETTA & 5 SECONDS OF SUMMER",Rx,2024-05-17,172268,62,dance pop
Die With A Smile,Lady Gaga,Die With A Smile,2024-08-16,251667,100,art pop
Menina Solta,Giulia Be,menina solta,2019-08-23,150026,67,pop nacional
La Bachata,Manuel Turizo,2000,2023-03-17,162637,83,colombian pop
Houdini,Dua Lipa,Radical Optimism,2024-05-03,185917,80,dance pop
FONES NOS OUVIDOS,NENA,Fones nos ouvidos - Ao vivo no Grovewood Estúdio,2024-08-16,233840,39,portuguese pop
Amanhã,Os Quatro e Meia,Festival Da Canção 2022,2022-01-21,179589,44,portuguese folk
WANT TO WANT ME,JASON DERULO,Everything Is 4,2015-05-29,207719,73,dance pop
Dia de Folga,Ana Moura,Moura,2016-01-01,157573,35,fado
DESPEDIDA DE SOLTEIRA,BÁRBARA TINOCO,Bichinho,2023-04-21,202920,46,portuguese pop
LOUCAMENTE,"D.A.M.A, LOS ROMEROS",Loucamente,2023-05-12,222909,49,portuguese pop
Brutos Diamantes,Syro,11 11,2023-11-11,176320,56,portuguese pop
Survivor,Destiny's Child,Survivor,2001-05-01,254026,67,dance pop
SLOW IT DOWN,BENSON BOONE,Fireworks & Rollerblades,2024-04-05,161831,87,singer-songwriter pop
A Coisa Vai Andando,Beatriz Caixinha,Merenda Mista,2024-09-06,136968,14,""
Sushi,Nenny,Aura,2020-03-02,159737,34,hip hop tuga
Desliza,Ana Moura,Desliza,2024-09-19,160600,48,fado
CHICO,LUISA SONZA,Escândalo Íntimo,2024-05-28,182111,60,funk carioca
Heaven,Niall Horan,The Show,2023-06-09,186043,71,pop
Us,James Bay,Electric Light,2018-05-18,181360,70,neo mellow
Chamada Não Atendida,Bárbara Tinoco,Bichinho,2023-04-21,207173,49,portuguese pop
Stick Season,Noah Kahan,Stick Season,2022-10-14,182346,87,pov: indie
Dakiti,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,205090,76,reggaeton
Without You,The Kid Laroi,F*CK LOVE 3+: OVER YOU,2021-07-27,161384,73,australian hip hop
O Teu Cheiro,Bispo,O Teu Cheiro,2024-10-11,170290,57,hip hop tuga
GUESS,CHARLI XCX FEAT. BILLIE EILISH,Guess featuring Billie Eilish,2024-08-01,143330,87,art pop
AMAR PELA METADE,CALEMA,Amar Pela Metade / Aimer À Moitié,2024-09-20,186922,55,musica santomense
"GOOD LUCK, BABE",CHAPPELL ROAN,"Good Luck, Babe!",2024-04-05,218423,94,indie pop
APT,"ROSÉ, BRUNO MARS",APT.,2024-10-18,169917,95,k-pop
Let It Out,Frances,Things I've Never Said (Deluxe),2017-03-17,232133,22,indie anthem-folk
Imagina,FrankieontheGuitar,Imagina,2021-02-26,223100,52,hip hop tuga
Story of My Life,One Direction,Midnight Memories (Deluxe),2013-11-25,245493,87,boy band
The Emptiness Machine,Linkin Park,The Emptiness Machine,2024-09-05,190427,90,alternative metal
MILAGRE,JURA,milagre,2023-03-24,159000,33,portuguese pop
Cold Heart [Pnau remix],Elton John,The Lockdown Sessions,2021-10-22,202735,67,glam rock
STUMBLIN IN,CYRIL,Stumblin' In,2023-11-10,213363,85,""
Benção,Mizzy Miles,Bênção,2024-03-01,205934,62,hip hop tuga
I DONT WANNA WAIT,DAVID GUETTA + ONEREPUBLIC,I Don't Wanna Wait,2024-04-05,149667,86,big room
OLHA PARA NÓS,"ANJOS, NUNO RIBEIRO",Olha Para Nós (feat. Nuno Ribeiro),2024-10-18,206836,35,portuguese pop
Cidade,"Bárbara Tinoco, Bárbara Bandeira",Desalinhados,2021-04-29,165840,47,portuguese pop
Apneia,Tatiana Duarte,Apneia,2024-05-31,201569,28,""
"I LOVE YOU, IM SORRY",GRACIE ABRAMS,The Secret of Us,2024-06-21,157146,90,alt z
Fortnight,Taylor Swift,THE TORTURED POETS DEPARTMENT,2024-04-18,228965,85,pop
TOO SWEET,HOZIER,Unreal Unearth: Unaired,2024-08-19,251424,78,irish singer-songwriter
7 Rings,Ariana Grande,"thank u, next",2019-02-08,178626,81,pop
Fumaça,Bárbara Bandeira,Fumaça (feat. Veigh),2024-05-17,202474,54,portuguese pop
Starboy,The Weeknd,Starboy,2016-11-25,230453,87,canadian contemporary r&b
A BAR SONG,SHABOOZEY,A Bar Song (Tipsy),2024-04-12,171291,87,modern country pop
Más de la Una,Piso 21 ,El Amor En Los Tiempos Del Perreo,2021-03-18,236731,52,colombian pop
Alô,Dillaz,O Próprio,2024-02-16,211714,60,hip hop tuga
"Yo x Ti, Tu x Mi",Rosalía,"Yo x Ti, Tu x Mi",2019-08-15,201040,70,pop
FIRESTONE,"KYGO, CONRAD",Cloud Nine,2016-05-13,271640,75,edm
Do You No Wrong,Richie Campbell,Lisboa,2017-12-21,243180,50,hip hop tuga
NOSSO QUADRO,ANA CASTELA & AGROPLAY,Agroplay Verão,2023-08-18,173698,65,agronejo
