track_title,artist_name,spotify_album,spotify_release_date,spotify_duration_ms,spotify_popularity,spotify_genres,spotify_danceability,spotify_energy,spotify_valence,spotify_acousticness,spotify_instrumentalness,spotify_liveness,spotify_speechiness,spotify_tempo,spotify_mode,spotify_loudness,spotify_time_signature
Shape of You,Ed Sheeran,÷ (Deluxe),2017-03-03,233712,86,pop,0.825,0.652,0.931,0.581,0.0,0.0931,0.0802,95.977,0,-3.183,4
One Dance,Drake,Views,2016-05-06,173986,85,canadian hip hop,0.792,0.625,0.37,0.00776,0.0018,0.329,0.0536,103.967,1,-5.609,4
Apologize,"Timbaland, OneRepublic",Shock Value,2007-01-01,184400,72,dance pop,0.658,0.602,0.0785,0.0363,0.0,0.102,0.0281,118.026,1,-6.006,4
Levitating,"Dua Lipa, DaBaby",Future Nostalgia,2020-03-27,203064,78,dance pop,0.702,0.825,0.915,0.00883,0.0,0.0674,0.0601,102.977,0,-3.787,4
WHEN WE WERE YOUNG,ADELE,25,2015-11-20,290900,71,british soul,0.376,0.595,0.265,0.303,0.0,0.095,0.0496,144.361,1,-5.936,4
Rolling in the Deep,Adele,21,2011-01-24,228093,77,british soul,0.73,0.769,0.507,0.138,0.0,0.0473,0.0298,104.948,1,-5.114,4
Fala-me a Verdade,"Bia Caboz, Piruka",Fala-me A Verdade,2024-05-10,172804,47,"",0.51,0.519,0.616,0.483,0.0,0.103,0.0723,113.711,0,-9.383,3
CUPID - TWIN VER.,FIFTY FIFTY,The Beginning,2023-09-22,174116,76,k-pop girl group,0.775,0.646,0.724,0.321,0.000157,0.255,0.0314,120.001,0,-5.72,4
TEARS IN HEAVEN,ERIC CLAPTON,Rush (Music from the Motion Picture Soundtrack),1992-01-10,271760,68,album rock,0.498,0.242,0.312,0.835,0.536,0.133,0.0257,153.744,1,-12.238,4
EL CHAPO,WET BED GANG,El Chapo,2024-08-16,241813,43,hip hop tuga,0.699,0.929,0.906,0.0543,1.94e-6,0.0765,0.0597,97.017,0,-4.679,4
In another Time,Sade,Soldier of Love,2010-02-08,304413,52,british soul,0.62,0.38,0.233,0.574,0.0225,0.108,0.029,147.7,1,-9.32,3
Mood,24kGoldn,El Dorado,2021-03-26,140533,80,cali rap,0.701,0.716,0.732,0.174,0.0,0.324,0.0361,91.007,0,-3.671,4
Quando Nós Formos Velhinhos,Rogério Charraz,O Coreto,2021-02-26,235009,20,musica portuguesa contemporanea,0.503,0.186,0.22,0.705,0.00635,0.121,0.0382,95.226,0,-14.175,4
BLAME,CALVIN HARRIS feat. JOHN NEWMAN,Motion,2014-10-31,212960,79,dance pop,0.414,0.857,0.348,0.0287,0.00574,0.343,0.0808,128.024,0,-4.078,4
You've Got the Love,Florence and the Machine,Lungs (Deluxe Edition),2009-01-01,168666,63,baroque pop,0.574,0.704,0.368,0.00455,0.0,0.107,0.0319,109.999,1,-4.72,4
Sunday Morning,Maroon 5,Songs About Jane: 10th Anniversary Edition,2002-01-01,244880,74,pop,0.608,0.768,0.809,0.0913,0.0,0.0629,0.0475,88.059,1,-5.227,4
7 Years,Lukas Graham,Lukas Graham,2016-04-01,237300,79,danish pop,0.765,0.473,0.34,0.287,0.0,0.391,0.0514,119.992,1,-5.829,4
TEMPO,VAN ZEE,Tempo,2020-02-12,188735,52,hip hop tuga,0.542,0.229,0.393,0.882,0.000614,0.231,0.207,177.071,1,-14.324,4
Don't You Remember,Adele,21,2011-01-24,243200,61,british soul,0.644,0.4,0.227,0.214,0.0,0.0866,0.0304,115.025,1,-5.713,4
A VIDA TODA,CAROLINA DESLANDES,Casa,2018-04-20,246178,42,portuguese pop,0.786,0.294,0.536,0.787,0.0000523,0.104,0.044,128.04,0,-10.006,4
AMOR DE FERRO,"DIOGO PIÇARRA, PEDRO ABRUNHOSA",Amor de Ferro,2024-02-22,214190,46,portuguese pop,0.62,0.554,0.154,0.124,0.0000106,0.113,0.0518,124.853,1,-7.138,4
I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),2008-05-01,242946,77,acoustic pop,0.703,0.444,0.712,0.559,0.0,0.0973,0.0417,150.96,1,-9.331,4
Sprinter,Dave,Sprinter,2023-06-01,229133,79,uk hip hop,0.918,0.681,0.706,0.263,0.0,0.0615,0.201,139.057,1,-4.705,4
Bend and Break,Keane,Hopes And Fears,2004-01-01,220133,44,neo mellow,0.471,0.84,0.497,0.00074,0.0000197,0.163,0.0295,137.924,1,-3.59,4
Estrela,Carminho,Maria,2018-11-30,279653,4,fado,0.385,0.112,0.133,0.857,0.0,0.111,0.0364,109.74,1,-11.916,4
There's Nothing Holdin' Me Back,Shawn Mendes,Illuminate (Deluxe),2017-04-20,199440,84,canadian pop,0.866,0.811,0.969,0.375,0.0,0.078,0.0553,121.995,0,-4.063,4
Cooped Up,Post Malone,Cooped Up / Return Of The Mack,2022-10-21,127253,67,dfw rap,0.726,0.756,0.63,0.00686,2.52e-6,0.197,0.148,95.5,1,-4.735,4
I See Fire,Ed Sheeran,x (10th Anniversary Edition),2024-06-21,299146,68,pop,0.591,0.176,0.296,0.638,4.81e-6,0.252,0.0396,152.122,0,-11.692,4
VAMPIRE,OLIVIA RODRIGO,GUTS,2023-09-08,219724,84,pop,0.484,0.53,0.323,0.154,0.0,0.263,0.0538,136.848,1,-5.821,4
SOMEONE LIKE YOU,ADELE,21,2011-01-24,285240,77,british soul,0.556,0.319,0.294,0.893,0.0,0.0996,0.0281,135.187,1,-8.251,4
Ponto Para Terminar,Diana Lima,Ponto Para Terminar,2023-07-04,163077,32,portuguese pop,0.849,0.363,0.623,0.466,0.0000676,0.106,0.0407,91.033,0,-8.309,4
Fireflies,Owl City,Ocean Eyes,2009-01-01,228346,76,indietronica,0.512,0.662,0.472,0.0275,0.0,0.118,0.0439,180.114,1,-6.797,4
Safe Inside,James Arthur,Back from the Edge,2016-10-28,222173,61,pop,0.317,0.547,0.11,0.187,0.0,0.121,0.0366,117.332,1,-6.549,4
One more Time,Daft Punk,Discovery,2001-03-12,320357,75,electro,0.613,0.697,0.476,0.0194,0.0,0.332,0.133,122.746,1,-8.618,4
Hold Back the River,James Bay,Chaos And The Calm,2015-03-23,238746,60,neo mellow,0.715,0.715,0.507,0.0526,0.0,0.0936,0.0902,134.922,1,-7.364,4
Big Girls Don't Cry,Fergie,The Dutchess,2006-09-13,268120,64,dance pop,0.707,0.642,0.249,0.204,0.0,0.0925,0.0337,113.083,1,-4.271,4
LOVE LIES,KHALID & NORMANI,Love Lies (with Normani),2018-02-14,201707,70,pop,0.708,0.648,0.338,0.0956,0.0,0.134,0.0449,143.955,1,-5.626,4
LOVE ON,SELENA GOMEZ,Love On,2024-02-22,181650,66,pop,0.751,0.519,0.534,0.202,1.15e-6,0.08,0.0372,116.023,1,-6.265,4
Tsunami,Richie Campbell,Heartbreak & Other Stories,2023-03-17,297737,42,hip hop tuga,0.73,0.5,0.332,0.723,0.0000146,0.101,0.116,98.117,0,-9.189,4
Imortais,Mafalda Veiga,Imortais (feat. Jorge Palma),2018-09-21,213507,13,classic portuguese pop,0.555,0.27,0.368,0.93,0.0,0.279,0.0323,90.435,1,-11.902,4
Calm Down,"Rema, Selena Gomez",Calm Down (with Selena Gomez),2022-08-25,239317,79,afrobeats,0.801,0.806,0.802,0.382,0.000669,0.114,0.0381,106.999,1,-5.206,4
Party Of One,"Brandi Carlile, Sam Smith",Party of One (feat. Sam Smith),2018-10-17,259558,48,acoustic pop,0.354,0.206,0.202,0.779,0.00021,0.0959,0.0365,139.056,1,-11.799,4
ASSOBIA PARA O LADO,CARLAO,Assobia Para O Lado,2020-03-13,191648,35,hip hop tuga,0.95,0.725,0.795,0.384,0.0000966,0.0764,0.051,102.006,1,-5.761,4
Melancholic Ballad (For the Leftlovers),Fingertips,All 'bout Smoke 'n Mirrors (Deluxe),2003-03-17,268440,33,portuguese rock,0.45,0.341,0.0683,0.444,0.0000345,0.111,0.0349,123.993,1,-9.468,4
POMPEII,BASTILLE,Bad Blood,2013-01-01,214147,68,metropopolis,0.679,0.715,0.571,0.0755,0.0,0.271,0.0407,127.435,1,-6.383,4
YOUR SONG,ELLIE GOULDING,Bright Lights (Lights Re-pack / Bonus Version),2010-01-01,191826,61,indietronica,0.551,0.197,0.404,0.941,0.000752,0.144,0.03,134.102,1,-12.003,4
Photograph,Ed Sheeran,x (Wembley Edition),2013-01-01,258986,67,pop,0.614,0.379,0.201,0.607,0.000464,0.0986,0.0476,107.989,1,-10.48,4
Set Fire to the Rain,Adele,21,2011-01-24,242973,77,british soul,0.603,0.67,0.446,0.00408,1.68e-6,0.112,0.0249,107.993,0,-3.882,4
FIX YOU,COLDPLAY,X&Y,2005-06-07,295533,82,permanent wave,0.209,0.417,0.124,0.164,0.00196,0.113,0.0338,138.178,1,-8.74,4
The Story,Brandi Carlile,The Story,2007-04-03,238493,62,acoustic pop,0.544,0.5,0.177,0.0325,3.78e-6,0.109,0.026,93.621,1,-8.253,4
BE ALRIGHT,JOEL CORRY,Be Alright,2024-10-25,155697,56,dance pop,0.49,0.818,0.383,0.0568,0.0,0.083,0.15,129.034,0,-4.811,4
Be without You,Mary J. Blige,The Breakthrough,2005-01-01,246333,66,dance pop,0.726,0.701,0.673,0.0708,0.0,0.262,0.0999,146.575,0,-5.881,4
A Sky Full of Stars,Coldplay,Ghost Stories,2014-05-19,267866,86,permanent wave,0.545,0.675,0.162,0.00617,0.00197,0.209,0.0279,124.97,1,-6.474,4
Passionfruit,Drake,More Life,2017-03-18,298940,80,canadian hip hop,0.809,0.463,0.364,0.256,0.085,0.109,0.0396,111.98,1,-11.377,4
Tacones Rojos,Sebastian Yatra,Dharma,2022-01-28,189333,72,colombian pop,0.746,0.844,0.934,0.062,0.0,0.149,0.0359,123.014,0,-3.499,4
Snap,Rosa Linn,SNAP,2022-03-19,179551,79,alt z,0.565,0.636,0.526,0.107,9.9e-6,0.447,0.0622,170.027,1,-8.198,4
WITHOUT YOU,THE KID LAROI,F*CK LOVE 3+: OVER YOU,2021-07-27,161384,73,australian hip hop,0.662,0.413,0.467,0.213,0.0,0.134,0.0299,93.005,1,-7.357,4
Breaking the Habit,Linkin Park,Meteora,2003-09-16,196133,69,alternative metal,0.58,0.865,0.587,0.105,0.0,0.106,0.0313,100.016,0,-4.359,4
Look Alive,BlocBoy JB ,Simi,2018-05-04,181414,66,memphis hip hop,0.918,0.58,0.611,0.00108,0.0000612,0.106,0.322,139.977,1,-7.501,4
If I Were a Boy,Beyoncé,I AM...SASHA FIERCE,2008-11-14,249146,62,pop,0.632,0.518,0.427,0.107,0.0,0.354,0.0313,90.007,1,-6.126,4
Shut Up,Black Eyed Peas,Elephunk,2003-06-24,296186,67,dance pop,0.805,0.717,0.582,0.0669,0.0,0.248,0.266,112.989,1,-3.956,4
Paint The Town Red,Doja Cat,Paint The Town Red,2023-08-04,231750,78,dance pop,0.868,0.538,0.732,0.269,3.34e-6,0.0901,0.174,99.968,1,-8.603,4
Try,Pink,The Truth About Love,2012-09-18,247906,79,dance pop,0.674,0.628,0.552,0.00144,0.0,0.0944,0.03,103.998,1,-7.079,4
Wow.,Post Malone ,Hollywood's Bleeding,2019-09-06,149546,77,dfw rap,0.829,0.538,0.389,0.137,1.88e-6,0.103,0.212,99.952,0,-7.359,4
RITINHA,ATOA & GRUPO ACADEMICO SEISTETOS,Ritinha,2024-07-26,156063,45,portuguese pop,0.669,0.548,0.514,0.141,5.04e-6,0.155,0.0314,93.997,1,-9.462,4
DOWN,JAY SEAN feat. LIL WAYNE,All Or Nothing,2009-01-01,212506,77,dance pop,0.727,0.68,0.728,0.0101,0.0,0.0821,0.0286,132.012,1,-4.498,4
(Another Song) All Over Again,Justin Timberlake,FutureSex/LoveSounds,2006-09-12,345106,37,dance pop,0.624,0.363,0.213,0.344,0.000179,0.106,0.0359,101.39,1,-7.475,4
Birds Of A Feather,Billie Eilish ,HIT ME HARD AND SOFT,2024-05-17,210373,97,art pop,0.747,0.507,0.438,0.2,0.0608,0.117,0.0358,104.978,1,-10.171,4
MY LOVE,JUSTIN TIMBERLAKE feat. T.I.,FutureSex/LoveSounds Deluxe Edition,2006-09-13,276160,77,dance pop,0.771,0.68,0.808,0.277,0.0000118,0.682,0.224,119.952,0,-5.881,4
PillowTalk,Zayn,Mind Of Mine (Deluxe Edition),2016-03-25,202746,79,pop,0.584,0.7,0.438,0.117,0.0,0.0939,0.0456,124.944,1,-4.275,4
Lemonade,Internet Money,B4 The Storm,2020-08-28,195428,77,pop rap,0.8,0.658,0.462,0.25,0.0,0.111,0.079,140.042,0,-6.142,4
Lambreta,António Zambujo,Quinto (Deluxe Edition),2012-10-23,144373,18,fado,0.611,0.168,0.442,0.88,0.0248,0.107,0.14,174.179,1,-12.309,3
Thriller,Michael Jackson,Thriller 25 Super Deluxe Edition,2008-02-08,357266,78,r&b,0.773,0.859,0.813,0.0855,0.000187,0.914,0.0747,118.459,1,-4.913,4
About Damn Time,Lizzo,Special,2022-07-15,191937,71,escape room,0.836,0.743,0.723,0.0974,0.0,0.335,0.0653,108.965,0,-6.305,4
Skinny Love,Birdy,Birdy,2011-11-04,201080,70,neo mellow,0.379,0.29,0.184,0.952,0.000996,0.118,0.0513,165.997,1,-8.487,4
SATURN,SZA,Saturn,2024-02-22,186191,85,pop,0.411,0.619,0.337,0.62,0.0,0.11,0.0368,177.937,1,-6.834,4
Ways To Go,"Alec Benjamin, Khalid",12 Notes,2024-05-10,154705,52,alt z,0.652,0.621,0.747,0.635,0.0,0.069,0.0386,80.033,0,-4.91,4
Lose Yourself,Eminem,Curtain Call: The Hits (Deluxe Edition),2005-12-06,326466,76,detroit hip hop,0.692,0.744,0.0612,0.00868,0.000423,0.359,0.257,171.374,1,-4.565,4
Viva la Vida,Coldplay,Viva La Vida or Death and All His Friends,2008-05-26,242373,86,permanent wave,0.486,0.617,0.417,0.0954,3.23e-6,0.109,0.0287,138.015,0,-7.115,4
Não És Tu Sou Eu,Bárbara Tinoco,Bichinho (para onde vai o amor?),2024-05-31,181186,34,portuguese pop,0.603,0.441,0.285,0.778,0.000139,0.12,0.187,130.448,0,-9.039,5
Bom Rapaz,"Os Quatro e Meia, Carlão",O Tempo Vai Esperar,2020-09-25,175413,37,portuguese folk,0.655,0.747,0.94,0.191,0.0,0.101,0.0306,97.06,1,-6.223,4
Without You,The Kid Laroi,F*CK LOVE 3+: OVER YOU,2021-07-27,161384,73,australian hip hop,0.662,0.413,0.467,0.213,0.0,0.134,0.0299,93.005,1,-7.357,4
Crush,David Archuleta,David Archuleta,2008-11-11,213520,64,idol,0.57,0.664,0.487,0.00836,0.000012,0.0719,0.0322,162.084,0,-4.718,4
Here without You,3 Doors Down,Away From The Sun,2002-11-12,238733,75,alternative metal,0.557,0.533,0.233,0.0492,0.0,0.205,0.0252,143.994,0,-6.817,4
BURGUESINHA,SEU JORGE,America Brasil,2007-01-01,258186,62,mpb,0.682,0.949,0.96,0.563,0.00403,0.337,0.0422,101.976,1,-5.401,4
IM GOOD (BLUE),DAVID GUETTA & BEBE REXHA,I'm Good (Blue),2022-08-26,175238,85,big room,0.561,0.965,0.304,0.00383,7.07e-6,0.371,0.0343,128.04,0,-3.673,4
Where Are You Now,Britney Spears,Oops!... I Did It Again,2000-05-16,279386,36,dance pop,0.636,0.489,0.297,0.337,0.0,0.291,0.0263,125.616,1,-8.098,4
Lovers on the Sun,"David Guetta, Sam Martin",Listen (Deluxe),2014-11-10,203520,48,big room,0.645,0.891,0.568,0.0932,3.88e-6,0.379,0.0387,124.915,0,-2.505,4
Sorte Grande,João Só e Abandonados,Ela Só,2012-07-11,215306,36,"",0.517,0.537,0.339,0.416,9.37e-6,0.127,0.0282,150.119,1,-8.278,4
BUSY (FOR ME),AUREA,Aurea,2010-11-22,237240,29,portuguese pop,0.367,0.425,0.341,0.448,0.0,0.319,0.0298,179.71,1,-4.961,3
Ghost Town,Benson Boone,Fireworks & Rollerblades,2024-04-05,193733,76,singer-songwriter pop,0.391,0.335,0.116,0.389,0.0,0.102,0.0763,174.185,1,-10.064,3
Hard for Me,Michele Morrone,Dark Room,2020-02-14,177946,56,"",0.451,0.291,0.158,0.812,0.0,0.0983,0.036,81.326,0,-11.764,4
Psycho,Post Malone,beerbongs & bentleys,2018-04-27,221440,73,dfw rap,0.75,0.56,0.459,0.546,0.0,0.111,0.105,140.06,1,-8.094,4
Aqui,Leonor Arroja,Aqui,2024-05-31,162696,18,"",0.78,0.637,0.931,0.505,0.0000942,0.207,0.0422,109.987,0,-5.952,4
7 RINGS,ARIANA GRANDE,"thank u, next",2019-02-08,178626,81,pop,0.777,0.317,0.33,0.591,0.0,0.0881,0.308,139.848,0,-10.732,4
Vergonha na Cara,Plutónio,"Sacrifício: Sangue, Lágrimas, Suor",2019-11-22,196864,42,hip hop tuga,0.89,0.654,0.783,0.207,0.000178,0.0593,0.347,125.145,1,-7.648,4
Andorinhas,Ana Moura,Casa Guilhermina,2022-11-11,177633,38,fado,0.599,0.523,0.316,0.553,0.0000363,0.151,0.0279,95.06,0,-7.2,4
Recantiga,Miguel Araújo,28 Noites Ao Vivo Nos Coliseus,2018-06-08,152853,30,fado,0.524,0.176,0.209,0.957,0.000132,0.609,0.0658,84.867,1,-12.687,3
My Universe,Coldplay,Music Of The Spheres,2021-10-15,226198,74,permanent wave,0.573,0.711,0.47,0.0114,0.0,0.328,0.0406,105.006,0,-6.268,4
Marry You,Bruno Mars,Doo-Wops & Hooligans,2010-05-11,230192,74,dance pop,0.621,0.82,0.452,0.332,0.0,0.104,0.0367,144.905,1,-4.865,4
Daughters,John Mayer,Heavier Things,2003-09-09,237906,63,neo mellow,0.674,0.413,0.503,0.836,0.0000195,0.098,0.0274,124.893,1,-7.816,3
ANTES DA NOITE ACABAR,BIANCA BARROS,Antes Da Noite Acabar,2022-10-25,212410,34,portuguese pop,0.587,0.48,0.269,0.307,0.0,0.104,0.033,105.814,1,-7.148,4
I WONT GIVE UP,JASON MRAZ,Love Is a Four Letter Word (Deluxe Edition),2012-04-13,240165,66,acoustic pop,0.483,0.303,0.139,0.694,0.0,0.115,0.0429,133.406,1,-10.058,3
GIVE IT TO ME,JUSTIN TIMBERLAKE [+] NELLY FURTADO,Shock Value,2007-04-02,234026,74,dance pop,0.975,0.711,0.815,0.168,0.000552,0.0799,0.0632,110.621,1,-3.904,4
Highest in the Room,Travis Scott,HIGHEST IN THE ROOM,2019-10-04,175720,85,rap,0.598,0.427,0.0605,0.0546,5.83e-6,0.21,0.0317,76.469,0,-8.764,4
IGUAL QUE UN ANGEL,"KALI UCHIS, PESO PLUMA",ORQUÍDEAS,2024-01-12,260370,76,colombian pop,0.695,0.592,0.482,0.00449,0.000663,0.185,0.032,108.001,0,-5.34,4
Get Lucky,"Daft Punk, Pharrell Williams",Random Access Memories,2013-05-20,369626,73,electro,0.81,0.793,0.863,0.0378,1.77e-6,0.072,0.0403,116.05,0,-9.404,4
BEIJINHO,GUGA,Beijinho,2024-07-12,155100,28,hip hop tuga,0.784,0.704,0.693,0.0675,4.33e-6,0.198,0.0791,137.048,1,-9.346,4
CARRO,BARBARA BANDEIRA FEAT. DILLAZ,Finda,2023-10-06,202624,56,portuguese pop,0.733,0.53,0.47,0.66,0.0,0.142,0.0338,114.972,0,-7.113,4
PERTO DE MIM,SYRO,Genesis + Deluxe Tracks,2022-11-04,224999,39,portuguese pop,0.627,0.39,0.317,0.692,0.0,0.059,0.0357,116.022,1,-8.528,4
PANTEAO,PIRUKA,Panteão,2024-09-13,153249,42,hip hop tuga,0.917,0.606,0.653,0.216,0.0000255,0.0952,0.24,102.015,0,-8.611,4
BEAUTIFUL,NOBLE,The Great Gatsby - A New Musical (Original Broadway Cast Recording),2024-06-28,171786,41,broadway,0.317,0.173,0.144,0.738,0.0000256,0.302,0.0356,100.011,0,-9.173,3
Wait For You,Myles Smith,Wait For You,2024-08-23,201533,76,singer-songwriter pop,0.642,0.713,0.302,0.161,0.0,0.137,0.0451,123.943,1,-5.281,4
UNHEALTHY,ANNE-MARIE FEAT. SHANIA TWAIN,UNHEALTHY (Deluxe),2023-07-28,149653,61,pop,0.621,0.66,0.407,0.00526,0.0,0.072,0.0366,119.937,0,-6.208,4
Ghost,Justin Bieber,Justice,2021-03-19,153190,83,canadian pop,0.601,0.741,0.441,0.185,0.0000291,0.415,0.0478,153.96,1,-5.569,4
Não Me Importo,Carolina Deslandes,Não Me Importo,2020-11-24,194862,43,portuguese pop,0.602,0.532,0.481,0.625,0.000183,0.115,0.195,186.02,0,-8.213,4
ASSOBIA PARA O LADO,CARLÃO,Assobia Para O Lado,2020-03-13,191648,35,hip hop tuga,0.95,0.725,0.795,0.384,0.0000966,0.0764,0.051,102.006,1,-5.761,4
SOMEWHERE ONLY WE KNOW,KEANE,Hopes And Fears,2004-01-01,236160,73,neo mellow,0.453,0.655,0.366,0.0794,7.06e-6,0.0849,0.0257,172.01,1,-4.22,4
RUSH,TROYE SIVAN,Something To Give Each Other,2023-10-13,156391,78,australian pop,0.728,0.841,0.402,0.00242,0.0000909,0.106,0.0567,125.991,0,-7.682,4
Mon Amour [remix],Zzoilo,Mon Amour (Remix),2021-08-18,179940,74,latin pop,0.748,0.761,0.362,0.122,6.56e-6,0.0984,0.102,116.041,1,-6.621,4
My Immortal,Evanescence,Fallen,2003-03-04,262533,72,alternative metal,0.19,0.265,0.101,0.863,0.0,0.134,0.0356,79.012,1,-9.206,4
Strip that Down,Liam Payne,LP1,2019-12-06,202061,74,pop,0.873,0.495,0.546,0.199,0.0,0.0805,0.0518,106.033,1,-5.446,4
Running Up that Hill (A Deal with God),Kate Bush,Hounds Of Love,1985-09-16,298933,79,art pop,0.629,0.545,0.194,0.719,0.00308,0.0604,0.0546,108.376,0,-13.123,4
Heaven,Cian Ducrot,Victory,2023-08-04,232944,44,irish pop,0.51,0.669,0.655,0.472,0.0,0.168,0.0349,156.05,1,-5.155,4
Where Is the Love,Black Eyed Peas,Elephunk,2003-06-24,272533,79,dance pop,0.834,0.699,0.809,0.111,0.0,0.131,0.178,94.086,1,-3.222,4
Watermelon Sugar,Harry Styles,Fine Line,2019-12-13,174000,82,pop,0.548,0.816,0.557,0.122,0.0,0.335,0.0465,95.39,1,-4.209,4
Lucky,"Jason Mraz, Colbie Caillat",We Sing. We Dance. We Steal Things.,2008-05-12,189613,66,acoustic pop,0.625,0.414,0.669,0.294,0.0,0.151,0.0369,130.088,1,-8.7,4
Hey Brother,Avicii,True,2013-01-01,255093,76,dance pop,0.545,0.78,0.458,0.0309,0.0000464,0.0828,0.0436,125.014,0,-4.867,4
Cold Heart [Pnau remix],Elton John,The Lockdown Sessions,2021-10-22,202735,67,glam rock,0.795,0.8,0.934,0.0354,0.0000725,0.0915,0.0309,116.032,1,-6.32,4
BETTER,KHALID,Suncity,2018-10-19,229320,77,pop,0.695,0.586,0.112,0.102,0.317,0.113,0.0658,98.035,0,-10.315,4
Thinking Out Loud,Ed Sheeran,x (Deluxe Edition),2014-06-21,281560,80,pop,0.781,0.445,0.591,0.474,0.0,0.184,0.0295,78.998,1,-6.061,4
Radioactive,Imagine Dragons,Night Visions,2012-09-04,186813,71,modern rock,0.448,0.784,0.237,0.0999,0.000108,0.668,0.0625,136.239,1,-3.686,4
O AMOR É O SEGREDO,VITOR KLEY,A Bolha,2020-06-18,183542,49,"",0.39,0.57,0.21,0.13,5.54e-6,0.0985,0.0275,100.111,1,-7.363,4
Bruises,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,2019-05-17,220492,78,pop,0.736,0.308,0.361,0.946,0.0,0.186,0.0677,111.202,1,-7.83,4
CRISTALIZA,BARBARA BANDEIRA,Finda,2023-10-06,180468,40,portuguese pop,0.593,0.53,0.48,0.746,0.0,0.111,0.306,127.012,0,-8.083,5
Pepas,Farruko,Pepas,2021-06-24,287120,76,reggaeton,0.762,0.766,0.442,0.00776,0.0000698,0.128,0.0343,130.001,1,-3.955,4
CONEXOES DE MAFIA,MATUE feat. RICH THE KID,Conexões de Máfia (feat. Rich The Kid),2023-04-30,221538,67,r&b brasileiro,0.771,0.577,0.691,0.393,0.0,0.256,0.0461,116.96,0,-6.944,4
Blank Space (Taylor's Version),Taylor Swift,1989 (Taylor's Version),2023-10-26,231833,76,pop,0.732,0.719,0.71,0.0901,0.0,0.331,0.0645,96.035,1,-5.469,4
Young Dumb & Broke,Khalid,American Teen,2017-04-27,202546,79,pop,0.799,0.539,0.394,0.199,0.0000166,0.165,0.0421,136.948,1,-6.351,4
WHATEVER,KYGO & AVA MAX,Whatever,2024-01-19,178273,77,edm,0.58,0.777,0.589,0.104,0.0,0.342,0.0655,108.005,1,-5.69,4
Rockstar,Nickelback,All The Right Reasons (15th Anniversary Expanded Edition),2005-01-01,255493,72,alternative metal,0.621,0.913,0.679,0.0477,0.0,0.314,0.0385,144.073,1,-3.352,4
Touch My Body,Mariah Carey,E=MC2 (Deluxe Version),2008-04-04,204733,71,dance pop,0.714,0.665,0.842,0.0996,0.0,0.226,0.0509,78.515,0,-7.736,4
Seven Days in Sunny June,Jamiroquai,Dynamite,2005-06-15,237866,62,dance pop,0.707,0.797,0.633,0.2,0.0,0.302,0.0435,105.397,1,-7.143,4
Podíamos Ser Nós,Irma,TWALA KUMOXI,2024-09-27,144000,21,musica portuguesa contemporanea,0.657,0.607,0.871,0.436,0.0000672,0.0905,0.22,104.879,0,-7.637,4
Bleeding Love,Leona Lewis,Spirit,2007-01-01,262466,74,british soul,0.638,0.656,0.225,0.188,0.0,0.146,0.0357,104.036,1,-5.886,4
Coracão De Gelo,Wiu,Manual de Como Amar Errado,2022-11-29,168000,66,trap brasileiro,0.732,0.671,0.836,0.124,0.0,0.128,0.082,159.907,0,-4.276,4
PURPLE RAIN,PRINCE AND THE REVOLUTION,Purple Rain,1984-06-25,521866,72,funk,0.373,0.452,0.179,0.0354,0.00227,0.689,0.0321,113.212,1,-10.417,4
BOYFRIEND,DOVE CAMERON,Boyfriend,2022-02-11,153000,71,pop,0.345,0.612,0.232,0.232,0.0,0.194,0.0608,179.773,0,-6.543,3
IDIOTA,JAO,PIRATA,2021-10-20,181626,63,pop nacional,0.669,0.785,0.84,0.0685,0.0,0.566,0.0421,131.957,0,-6.093,4
Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),1999-06-08,329733,82,alternative rock,0.592,0.767,0.328,0.0021,0.00165,0.127,0.027,96.483,0,-2.788,4
Better,Khalid,Suncity,2018-10-19,229320,77,pop,0.695,0.586,0.112,0.102,0.317,0.113,0.0658,98.035,0,-10.315,4
COSE DELLA VITA,EROS RAMAZZOTTI,Eros,1997-10-22,291133,54,italian adult pop,0.69,0.72,0.699,0.101,0.000729,0.347,0.0485,90.024,0,-8.522,4
WOMAN,DOJA CAT,Planet Her,2021-06-25,172626,82,dance pop,0.824,0.764,0.881,0.0888,0.00294,0.117,0.0854,107.998,0,-4.175,4
Laura,Khiaro,10:56 (Branco),2024-10-25,176243,26,"",0.662,0.609,0.572,0.527,6.75e-6,0.132,0.106,167.995,0,-7.907,4
I'm Like a Bird,Nelly Furtado,"Whoa, Nelly! (Expanded Edition)",2000-01-01,243160,71,canadian latin,0.623,0.607,0.614,0.147,3.29e-6,0.227,0.0353,89.654,1,-5.113,4
DESPECHA,ROSALIA,MOTOMAMI +,2022-09-09,156787,77,pop,0.914,0.622,0.77,0.146,0.0000168,0.0632,0.0892,130.04,1,-6.538,4
Benção,Mizzy Miles,Bênção,2024-03-01,205934,62,hip hop tuga,0.671,0.529,0.322,0.495,0.0000469,0.209,0.0675,90.055,0,-7.15,4
Devia Ir (versão da Bárbara),Bárbara Tinoco,Desalinhados,2021-04-29,282933,36,portuguese pop,0.639,0.69,0.544,0.826,1.88e-6,0.129,0.399,92.084,0,-6.669,4
