track_title,artist_name,spotify_album,spotify_release_date,spotify_duration_ms,spotify_popularity,spotify_genres,spotify_danceability,spotify_energy,spotify_valence,spotify_acousticness,spotify_instrumentalness,spotify_liveness,spotify_speechiness,spotify_tempo,spotify_mode,spotify_loudness,spotify_time_signature
HATE IT OR LOVE IT,THE GAME feat. 50 CENT,The Documentary,2005-01-01,206400,78,detroit hip hop,0.802,0.785,0.435,0.14,0.0,0.123,0.207,99.998,1,-4.781,4
Starlight,Sofia Camara,Starlight,2024-10-11,229314,52,"",0.375,0.453,0.0647,0.202,0.0,0.1,0.0299,173.828,1,-6.744,4
MAMACITA,BLACK EYED PEAS x OZUNA x J. REY SOUL,MAMACITA REMIXES,2020-06-17,232599,13,dance pop,0.873,0.585,0.621,0.416,0.0000912,0.0724,0.139,105.006,1,-6.145,4
PSYCHO,POST MALONE feat. TY DOLLA $IGN,beerbongs & bentleys,2018-04-27,221440,73,dfw rap,0.75,0.56,0.459,0.546,0.0,0.111,0.105,140.06,1,-8.094,4
Firework,Katy Perry,Teenage Dream,2010-01-01,227893,70,pop,0.638,0.831,0.649,0.142,0.0,0.113,0.049,124.071,1,-5.039,4
Stan,"Eminem, Dido",The Marshall Mathers LP,2000-05-23,404106,79,detroit hip hop,0.78,0.768,0.507,0.0371,2.34e-6,0.518,0.238,80.063,0,-4.325,4
As It Was,Harry Styles,Harry's House,2022-05-20,167303,87,pop,0.52,0.731,0.662,0.342,0.00101,0.311,0.0557,173.93,0,-5.338,4
Love Yourself,Justin Bieber,Purpose (Deluxe),2015-11-13,233720,83,canadian pop,0.609,0.378,0.515,0.835,0.0,0.28,0.438,100.43,1,-9.828,4
How Would You Feel (Paean),Ed Sheeran,÷ (Deluxe),2017-03-03,280533,62,pop,0.617,0.439,0.242,0.424,0.0,0.127,0.0269,139.979,1,-5.63,4
CIRCUS,BRITNEY SPEARS,Circus (Deluxe Version),2008-12-02,192360,77,dance pop,0.791,0.733,0.761,0.147,0.000381,0.0713,0.052,114.98,0,-5.215,4
Life for Rent,Dido,Life For Rent,2003-09-03,221053,39,dance pop,0.487,0.519,0.154,0.191,0.0,0.134,0.0296,82.947,1,-7.249,4
Onde Vais,"Bárbara Bandeira, Carminho",Onde Vais (feat. Carminho),2021-10-08,238305,47,portuguese pop,0.471,0.25,0.438,0.894,0.0,0.171,0.0342,140.227,1,-7.921,3
Forget Me,Lewis Capaldi,Broken By Desire To Be Heavenly Sent,2023-05-19,203666,72,pop,0.451,0.754,0.674,0.327,0.0,0.332,0.0864,203.894,0,-3.749,4
THE SCIENTIST,COLDPLAY,A Rush of Blood to the Head,2002-08-27,309600,85,permanent wave,0.557,0.442,0.213,0.731,0.0000146,0.11,0.0243,146.277,1,-7.224,4
Too Little Too Late,JoJo,The High Road,2006-10-17,221720,63,dance pop,0.421,0.799,0.731,0.00871,0.0000163,0.0794,0.0562,82.407,0,-5.183,4
With You,Chris Brown,Exclusive (Expanded Edition),2007-11-06,252120,74,r&b,0.662,0.693,0.655,0.134,0.0,0.145,0.0698,86.009,1,-4.298,4
Sagrado Profano,Luísa Sonza ,Escândalo Íntimo,2024-05-28,196601,72,funk carioca,0.665,0.717,0.638,0.497,0.0,0.0998,0.249,129.882,1,-5.554,4
Ritmo (Bad Boys for Life),Black Eyed Peas,RITMO (Bad Boys For Life),2019-10-12,221714,67,dance pop,0.721,0.716,0.667,0.0334,0.00084,0.237,0.0657,104.994,0,-7.037,4
DESPECHA,Rosalía,MOTOMAMI +,2022-09-09,156787,77,pop,0.914,0.622,0.77,0.146,0.0000168,0.0632,0.0892,130.04,1,-6.538,4
Happy,Pharrell Williams,G I R L,2014-03-03,232720,79,dance pop,0.647,0.822,0.962,0.219,0.0,0.0908,0.183,160.019,0,-4.662,4
Planeta,Bispo,Planeta,2023-03-24,167012,55,hip hop tuga,0.777,0.443,0.404,0.712,0.0000283,0.103,0.473,75.307,1,-8.864,4
Circo de Feras,Resistência,Resistência Ao Vivo no Atlântico - 25 Anos,2020-11-20,216693,5,portuguese rock,0.609,0.793,0.515,0.288,0.0014,0.693,0.0263,94.575,1,-6.397,4
OUTROS PLANOS,RITA ROCHA,Outros Planos,2022-11-24,221096,38,"",0.609,0.34,0.246,0.776,0.0000155,0.104,0.0323,100.093,1,-9.675,4
Unwritten,Natasha Bedingfield,Unwritten,2004-08-30,259333,85,dance pop,0.706,0.8,0.629,0.00584,0.0,0.0822,0.0399,100.011,1,-6.333,4
She's so High,Kurt Nilsen,I,2003-09-04,248746,44,classic norwegian pop,0.506,0.822,0.465,0.033,0.0,0.116,0.0355,123.026,1,-4.119,4
Attention,Charlie Puth,Voicenotes,2018-05-11,208786,80,pop,0.775,0.613,0.797,0.109,0.0000233,0.134,0.0542,100.066,0,-4.586,4
The Scientist,Coldplay,A Rush of Blood to the Head,2002-08-27,309600,85,permanent wave,0.557,0.442,0.213,0.731,0.0000146,0.11,0.0243,146.277,1,-7.224,4
CHINATOWN,YANG,Guess How Much?,2023-05-12,177733,19,deep comedy,0.621,0.676,0.254,0.901,0.0,0.885,0.956,77.607,1,-12.478,3
CALL OUT MY NAME,THE WEEKND,"My Dear Melancholy,",2018-03-30,228373,83,canadian contemporary r&b,0.461,0.593,0.174,0.165,0.0,0.307,0.0356,134.165,1,-4.954,3
Put Your Records On,Corinne Bailey Rae,Corinne Bailey Rae,2006-01-01,215360,77,british soul,0.739,0.511,0.542,0.167,1.34e-6,0.133,0.0362,96.038,1,-7.844,4
TIGINNI,JIMMY P. & KIKIMOTELEBA,Tiginni,2024-09-12,170986,33,hip hop tuga,0.743,0.805,0.484,0.0723,0.0,0.29,0.0623,134.923,0,-5.494,4
SORRY,JUSTIN BIEBER,Purpose (Deluxe),2015-11-13,200786,83,canadian pop,0.655,0.76,0.409,0.0797,0.0,0.299,0.045,99.947,0,-3.669,4
Eu Quero,Heróis do Mar,Heróis Do Mar,1988-01-01,277400,5,portuguese rock,0.704,0.565,0.902,0.074,1.17e-6,0.0178,0.0331,118.085,1,-12.613,4
Felices los 4,Maluma,F.A.M.E.,2018-05-18,230000,71,latin pop,0.766,0.756,0.716,0.213,0.0,0.349,0.132,94.027,1,-5.861,4
Just Like a Pill,Pink,M!ssundaztood (Expanded Edition),2001-01-01,236600,66,dance pop,0.689,0.774,0.25,0.0000872,0.0,0.0941,0.0278,102.054,1,-4.528,4
