radio,day,time_played,track_title,artist_name
Rádio Comercial,2024-10-27,14:28:00.000000000,Diet Pepsi,Addison Rae
Rádio Comercial,2024-10-27,14:24:00.000000000,Wrecked,Imagine Dragons
Rádio Comercial,2024-10-27,14:21:00.000000000,P'ra Frente É que É Lisboa,Os Quatro e Meia
Rádio Comercial,2024-10-27,14:17:00.000000000,Let's Get It Started,Black Eyed Peas
Rádio Comercial,2024-10-27,14:13:00.000000000,Amigos,"Pablo Alborán, Maria Becerra"
Rádio Comercial,2024-10-27,14:10:00.000000000,Contra Probabilidades,"Bispo, Julinho Ksd"
Rádio Comercial,2024-10-27,14:06:00.000000000,Payphone,Maroon 5
Rádio Comercial,2024-10-27,14:03:00.000000000,The Door,Teddy Swims
Rádio Comercial,2024-10-27,13:56:00.000000000,Die With A Smile,"Lady Gaga, Bruno Mars"
Rádio Comercial,2024-10-27,13:46:00.000000000,Boulevard of Broken Dreams,Green Day
Rádio Comercial,2024-10-27,13:42:00.000000000,Lembras-te De Mim,"Nena [pt], Carolina de Deus"
Rádio Comercial,2024-10-27,13:32:00.000000000,Without You,"David Guetta, Usher"
Rádio Comercial,2024-10-27,13:29:00.000000000,So Sick,Ne-Yo
Rádio Comercial,2024-10-27,13:25:00.000000000,Flowers,Miley Cyrus
Rádio Comercial,2024-10-27,13:22:00.000000000,Agarra em Mim,"Ana Moura, Pedro Mafama"
Rádio Comercial,2024-10-27,13:18:00.000000000,Can't Even Hate You,Cian Ducrot
Rádio Comercial,2024-10-27,13:15:00.000000000,Apneia,Tatiana Duarte
Rádio Comercial,2024-10-27,13:11:00.000000000,Houdini,Eminem
Rádio Comercial,2024-10-27,13:06:00.000000000,Someone Like You,Adele
Rádio Comercial,2024-10-27,13:03:00.000000000,Houdini,Dua Lipa
Rádio Comercial,2024-10-27,12:57:00.000000000,feelslikeimfallinginlove,Coldplay
Rádio Comercial,2024-10-27,12:47:00.000000000,Hey Brother,Avicii
Rádio Comercial,2024-10-27,12:45:00.000000000,"Ela Não Sabe, Pois Não?",Bárbara Tinoco
Rádio Comercial,2024-10-27,12:33:00.000000000,Do I Wanna Know?,Arctic Monkeys
Rádio Comercial,2024-10-27,12:30:00.000000000,What Do You Believe In,Rag'n'Bone Man
Rádio Comercial,2024-10-27,12:27:00.000000000,Stick Season,Noah Kahan
Rádio Comercial,2024-10-27,12:22:00.000000000,Momento (Uma Espécie de Céu),"Pedro Abrunhosa, Cat"
Rádio Comercial,2024-10-27,12:19:00.000000000,I'm with You,Avril Lavigne
Rádio Comercial,2024-10-27,12:15:00.000000000,Shivers,Ed Sheeran
Rádio Comercial,2024-10-27,12:12:00.000000000,casa,Fernando Daniel
Rádio Comercial,2024-10-27,12:08:00.000000000,The Monster,"Eminem, Rihanna"
Rádio Comercial,2024-10-27,12:04:00.000000000,Birds Of A Feather,Billie Eilish
